locus_tag,gene_name,true_essential,v15_call,v15_conf,ortholog_prior,n_orthologs,memory_prior,n_memory_neighbors,fallback_prior,fallback_source,cascade_a_call,cascade_a_source,cascade_b_call,cascade_b_source
JCVISYN3A_0003,rnmV,1,1,0.8,1.0,1,1.0,2,1.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0002,dnaN,1,1,0.8,,0,,0,,none,1,v15>=0.5,1,v15_essential
JCVISYN3A_0004,ksgA,0,0,0.0,0.25,4,0.2298937784522003,4,0.2439681335356601,orth+mem,0,fallback(orth+mem),0,v15_nonessential
JCVISYN3A_0001,dnaA,1,1,0.8,1.0,3,1.0,4,1.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0005,,0,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0008,rnsD; uptD,1,1,0.9,0.5,2,0.48115942028985514,2,0.49434782608695654,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0007,gyrA,1,1,0.9,1.0,7,1.0,10,1.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0006,gyrB,1,1,0.9,1.0,7,1.0,10,1.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0009,rnsC; uptD,1,1,0.9,,0,,0,,none,1,v15>=0.5,1,v15_essential
JCVISYN3A_0010,rnsA; uptA,1,1,0.9,0.4,5,0.3461384553821528,7,0.3838415366146458,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0011,rnsB; uptB,1,1,0.9,,0,,0,,none,1,v15>=0.5,1,v15_essential
JCVISYN3A_0012,metRS,1,1,0.8,1.0,4,1.0,4,1.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0025,rpsR,1,1,0.9,0.75,4,0.7653797199830292,4,0.7546139159949087,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0918,,0,0,0.0,0.6666666666666666,3,0.6674311926605504,3,0.6668960244648318,orth+mem,1,fallback(orth+mem),0,v15_nonessential
JCVISYN3A_0913,tetM,0,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0026,priB,1,1,0.8,,0,1.0,1,1.0,mem_only,1,v15>=0.5,1,v15_essential
JCVISYN3A_0027,rpsF,1,1,0.9,1.0,1,1.0,1,1.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0029,,1,0,0.0,0.5,2,0.5642458100558659,2,0.5192737430167598,orth+mem,1,fallback(orth+mem),0,v15_nonessential
JCVISYN3A_0030,,1,0,0.0,0.3333333333333333,6,0.8282961016206746,5,0.4818221638195357,orth+mem,0,fallback(orth+mem),0,v15_nonessential
JCVISYN3A_0033,,1,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0034,,0,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0039,ftsH,1,1,0.8,0.8,5,0.8102734051367025,5,0.8030820215410107,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0040,tilS,1,1,0.8,,0,,0,,none,1,v15>=0.5,1,v15_essential
JCVISYN3A_0042,,1,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0043,yabD,0,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0044,holA,1,1,0.8,,0,,0,,none,1,v15>=0.5,1,v15_essential
JCVISYN3A_0045,tmk,1,1,1.0,1.0,5,1.0,5,1.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0046,recR,1,0,0.0,0.0,2,0.0,3,0.0,orth+mem,0,fallback(orth+mem),0,v15_nonessential
JCVISYN3A_0047,dnaX,1,1,0.8,,0,,0,,none,1,v15>=0.5,1,v15_essential
JCVISYN3A_0054,ahpC,0,0,0.0,0.0,1,0.0,1,0.0,orth+mem,0,fallback(orth+mem),0,v15_nonessential
JCVISYN3A_0060,,1,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0061,serRS,1,1,0.8,1.0,7,1.0,7,1.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0063,dusB,0,0,0.0,0.0,3,0.0,5,0.0,orth+mem,0,fallback(orth+mem),0,v15_nonessential
JCVISYN3A_0064,lysRS,1,1,0.8,1.0,5,1.0,5,1.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0066,,1,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0065,trxA,1,0,0.0,0.6,5,0.3897202342225114,8,0.5369160702667535,orth+mem,1,fallback(orth+mem),0,v15_nonessential
JCVISYN3A_0076,asnRS,1,1,0.8,0.75,4,0.8041526374859708,4,0.7662457912457912,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0077,,1,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0079,tsaD,1,1,0.8,0.8333333333333334,6,0.8402169378389653,6,0.8353984146850231,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0080,,0,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0082,rpsT,1,1,0.9,0.0,2,0.0,2,0.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0081,mnmE; trmE,1,1,0.8,1.0,3,1.0,3,1.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0094,,0,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0095,secA,1,1,0.8,0.8571428571428571,7,0.7778763679384798,8,0.833362910381544,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0097,yycJ,1,0,0.0,1.0,1,1.0,1,1.0,orth+mem,1,fallback(orth+mem),1,fallback_strong(orth+mem)
JCVISYN3A_0105,xseB,0,1,0.9,,0,,0,,none,1,v15>=0.5,1,v15_essential
JCVISYN3A_0106,xseA,0,1,0.9,0.0,2,0.0,2,0.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0107,nusB,1,1,0.8,,0,1.0,1,1.0,mem_only,1,v15>=0.5,1,v15_essential
JCVISYN3A_0108,,1,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0109,,1,0,0.0,1.0,2,1.0,2,1.0,orth+mem,1,fallback(orth+mem),1,fallback_strong(orth+mem)
JCVISYN3A_0113,bcsA,1,1,0.8,,0,,0,,none,1,v15>=0.5,1,v15_essential
JCVISYN3A_0114,bcsB; cps,1,1,0.8,1.0,2,1.0,2,1.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0115,galU; gtaB,1,1,1.0,0.6666666666666666,6,0.5931573075492749,7,0.6446138589314491,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0116,,1,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0117,plsY,1,1,1.0,0.75,4,0.7520476545048399,4,0.7506142963514519,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0127,,0,0,0.0,1.0,2,1.0,2,1.0,orth+mem,1,fallback(orth+mem),1,fallback_strong(orth+mem)
JCVISYN3A_0128,rpoE,1,1,0.8,,0,,0,,none,1,v15>=0.5,1,v15_essential
JCVISYN3A_0126,gluRS,1,1,0.8,1.0,6,0.7913738019169329,8,0.9374121405750798,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0129,pyrG,1,1,0.8,1.0,4,1.0,4,1.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0131,fbaA,1,1,1.0,1.0,4,1.0,4,1.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0132,ietA,1,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0133,ietS,0,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0137,rpmE,1,1,0.9,0.5,6,0.5028722934158197,6,0.500861688024746,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0138,,1,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0139,ytqI; orn,1,0,0.0,1.0,2,1.0,4,1.0,orth+mem,1,fallback(orth+mem),1,fallback_strong(orth+mem)
JCVISYN3A_0140,tdk,1,1,1.0,1.0,1,1.0,1,1.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0141,prfA,1,1,0.8,1.0,7,1.0,10,1.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0142,prmC,1,1,0.8,0.0,1,0.0,2,0.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0143,,1,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0145,,1,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0144,tsaC,1,1,0.8,,0,,0,,none,1,v15>=0.5,1,v15_essential
JCVISYN3A_0146,,1,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0147,clsA,1,1,1.0,,0,,0,,none,1,v15>=0.5,1,v15_essential
JCVISYN3A_0148,rpsL,1,1,0.9,1.0,6,1.0,6,1.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0149,rpsG,1,1,0.9,0.8333333333333334,6,0.8598870056497175,6,0.8412994350282487,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0150,,1,1,0.8,0.8571428571428571,7,0.7587859424920127,9,0.8276357827476039,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0151,,1,1,0.8,0.6666666666666666,6,0.5054885729710276,8,0.6183132385579749,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0163,alaRS,1,1,0.8,1.0,6,1.0,6,1.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0164,,1,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0165,amiC,1,1,0.9,,0,,0,,none,1,v15>=0.5,1,v15_essential
JCVISYN3A_0166,,1,1,0.9,,0,,0,,none,1,v15>=0.5,1,v15_essential
JCVISYN3A_0167,amiE,1,1,0.9,,0,,0,,none,1,v15>=0.5,1,v15_essential
JCVISYN3A_0168,amiF,1,1,0.9,,0,,0,,none,1,v15>=0.5,1,v15_essential
JCVISYN3A_0169,amiA,1,1,0.9,,0,,0,,none,1,v15>=0.5,1,v15_essential
JCVISYN3A_0195,potC,1,1,0.9,,0,,0,,none,1,v15>=0.5,1,v15_essential
JCVISYN3A_0196,potB,1,1,0.9,0.0,1,0.0,1,0.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0197,potA,1,1,0.9,0.0,4,0.0,7,0.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0198,rplT,1,1,0.9,1.0,5,1.0,5,1.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0199,rpmI,1,1,0.9,1.0,1,1.0,1,1.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0200,infC,1,1,0.8,1.0,5,1.0,5,1.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0201,def,1,1,0.8,1.0,3,1.0,3,1.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0202,rsmD,1,0,0.0,,0,0.0,1,0.0,mem_only,0,fallback(mem_only),0,v15_nonessential
JCVISYN3A_0203,gmk,1,1,1.0,1.0,7,1.0,7,1.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0213,eno,1,1,1.0,0.8,5,0.8033980582524274,5,0.8010194174757281,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0215,yrrK; yqgF,1,0,0.0,1.0,1,1.0,1,1.0,orth+mem,1,fallback(orth+mem),1,fallback_strong(orth+mem)
JCVISYN3A_0214,pgpA,1,1,1.0,,0,,0,,none,1,v15>=0.5,1,v15_essential
JCVISYN3A_0216,hptA,1,1,1.0,0.6,5,0.5853300733496333,5,0.59559902200489,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0218,glpK,1,1,1.0,0.3333333333333333,6,0.3452421848162143,6,0.3369059887781976,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0220,pfkA,1,1,1.0,0.6,5,0.5915094339622641,5,0.5974528301886792,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0222,thrRS,1,1,0.8,1.0,5,1.0,5,1.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0221,pyk,1,1,1.0,0.6,5,0.5421994884910486,6,0.5826598465473146,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0227,pdhC,0,0,0.0,0.6,5,0.568883094306823,7,0.5906649282920469,orth+mem,1,fallback(orth+mem),0,v15_nonessential
JCVISYN3A_0228,lpdA,0,0,0.0,0.6,5,0.4236910508726328,7,0.5471073152617898,orth+mem,1,fallback(orth+mem),0,v15_nonessential
JCVISYN3A_0229,pta,1,1,1.0,0.75,4,0.8048145738451529,4,0.7664443721535458,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0233,ptsI,1,1,0.8,0.4,5,0.31345663265306123,8,0.3740369897959184,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0230,ackA,1,1,1.0,0.4,5,0.31969137873196907,7,0.3759074136195907,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0234,crr,1,1,0.8,0.0,1,0.0,1,0.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0235,,1,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0238,rpsD,1,1,0.9,0.8571428571428571,7,0.8627510651247717,7,0.8588253195374316,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0239,,0,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0240,thiI,1,1,0.8,1.0,2,1.0,2,1.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0247,ysxC; yihA,1,1,0.8,1.0,4,1.0,4,1.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0248,,0,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
