gene_id	symbol	name	conservation_depth	n_ortholog_species	annotation_status	human_go_exp	ortholog_evidence_source	max_species_support	n_ortholog_novel_go	ortholog_inferred_function	ortholog_novel_go_terms
57216	VANGL2	VANGL planar cell polarity protein 2	bilaterian	680	sparse	1	mouse:Vangl2	5	100	VANGL planar cell polarity 2 | molecular function: frizzled binding, PDZ domain binding | process: establishment of planar polarity, Wnt signaling pathway, planar cell polarity pathway, neural tube closure, post-anal tail morphogenesis	GO:0005886:plasma membrane [Component|5sp]; GO:0001736:establishment of planar polarity [Process|4sp]; GO:0060071:Wnt signaling pathway, planar cell polarity pathway [Process|3sp]; GO:0001843:neural tube closure [Process|2sp]; GO:0016323:basolateral plasma membrane [Component|2sp]; GO:0016324:apical plasma membrane [Component|2sp]; GO:0036342:post-anal tail morphogenesis [Process|2sp]; GO:0048546:digestive tract morphogenesis [Process|2sp]; GO:0060027:convergent extension involved in gastrulation [Process|2sp]; GO:0060028:convergent extension involved in axis elongation [Process|2sp]; GO:0098839:postsynaptic density membrane [Component|2sp]; GO:0098978:glutamatergic synapse [Component|2sp]
197135	PATL2	PAT1 homolog 2	eukaryote	855	sparse	2	yeast:PAT1	5	25	deadenylation-dependent mRNA-decapping factor PAT1 | molecular function: RNA binding, G-quadruplex RNA binding, chromatin binding | process: deadenylation-dependent decapping of nuclear-transcribed mRNA, P-body assembly, formation of translation preinitiation complex, regulation of translational initiation	GO:0000932:P-body [Component|5sp]; GO:0005634:nucleus [Component|3sp]; GO:0000290:deadenylation-dependent decapping of nuclear-transcribed mRNA [Process|2sp]; GO:0003723:RNA binding [Function|2sp]; GO:0033962:P-body assembly [Process|2sp]; GO:0000776:kinetochore [Component|1sp]; GO:0001731:formation of translation preinitiation complex [Process|1sp]; GO:0002151:G-quadruplex RNA binding [Function|1sp]; GO:0003682:chromatin binding [Function|1sp]; GO:0003729:mRNA binding [Function|1sp]; GO:0006446:regulation of translational initiation [Process|1sp]; GO:0008266:poly(U) RNA binding [Function|1sp]
1730	DIAPH2	diaphanous related formin 2	eukaryote	853	sparse	0	fly:dia	4	77	diaphanous | molecular function: protein binding, actin binding, profilin binding | process: intracellular protein localization, actin filament polymerization, actin nucleation, establishment of mitotic spindle orientation	GO:0005515:protein binding [Function|4sp]; GO:0005884:actin filament [Component|2sp]; GO:0008104:intracellular protein localization [Process|2sp]; GO:0030041:actin filament polymerization [Process|2sp]; GO:0032154:cleavage furrow [Component|2sp]; GO:0045010:actin nucleation [Process|2sp]; GO:0000131:incipient cellular bud site [Component|1sp]; GO:0000132:establishment of mitotic spindle orientation [Process|1sp]; GO:0000133:polarisome [Component|1sp]; GO:0000281:mitotic cytokinesis [Process|1sp]; GO:0000915:actomyosin contractile ring assembly [Process|1sp]; GO:0003383:apical constriction [Process|1sp]
5733	PTGER3	prostaglandin E receptor 3	bilaterian	862	sparse	2	rat:Ptger3	4	59	prostaglandin E receptor 3 | molecular function: prostaglandin E receptor activity, prostaglandin D receptor activity | process: positive regulation of cytosolic calcium ion concentration, fever generation, positive regulation of protein phosphorylation, desensitization of G protein-coupled receptor signaling pathway	GO:0004957:prostaglandin E receptor activity [Function|4sp]; GO:0007204:positive regulation of cytosolic calcium ion concentration [Process|2sp]; GO:0001660:fever generation [Process|1sp]; GO:0001934:positive regulation of protein phosphorylation [Process|1sp]; GO:0002029:desensitization of G protein-coupled receptor signaling pathway [Process|1sp]; GO:0004956:prostaglandin D receptor activity [Function|1sp]; GO:0006171:cAMP biosynthetic process [Process|1sp]; GO:0007188:adenylate cyclase-modulating G protein-coupled receptor signaling pathway [Process|1sp]; GO:0007200:phospholipase C-activating G protein-coupled receptor signaling pathway [Process|1sp]; GO:0007424:open tracheal system development [Process|1sp]; GO:0009986:cell surface [Component|1sp]; GO:0010628:positive regulation of gene expression [Process|1sp]
23025	UNC13A	unc-13 homolog A	bilaterian	767	sparse	1	rat:Unc13a	4	50	unc-13 homolog A | molecular function: protein binding, calmodulin binding, SNARE binding | process: synaptic vesicle exocytosis, synaptic vesicle priming, neuronal dense core vesicle exocytosis, positive regulation of neurotransmitter secretion	GO:0048786:presynaptic active zone [Component|4sp]; GO:0016079:synaptic vesicle exocytosis [Process|3sp]; GO:0016082:synaptic vesicle priming [Process|3sp]; GO:0005515:protein binding [Function|2sp]; GO:0005516:calmodulin binding [Function|2sp]; GO:0043195:terminal bouton [Component|2sp]; GO:0045202:synapse [Component|2sp]; GO:0099011:neuronal dense core vesicle exocytosis [Process|2sp]; GO:0000149:SNARE binding [Function|1sp]; GO:0001956:positive regulation of neurotransmitter secretion [Process|1sp]; GO:0005798:Golgi-associated vesicle [Component|1sp]; GO:0007268:chemical synaptic transmission [Process|1sp]
387332	TBPL2	TATA-box binding protein like 2	eukaryote	824	sparse	2	yeast:SPT15	4	45	TATA-binding protein | molecular function: DNA binding, TFIIA-class transcription factor complex binding, protein binding | process: DNA-templated transcription initiation, transcription by RNA polymerase II, transcription by RNA polymerase III, embryo development ending in birth or egg hatching	GO:0003677:DNA binding [Function|4sp]; GO:0001092:TFIIA-class transcription factor complex binding [Function|3sp]; GO:0005515:protein binding [Function|3sp]; GO:0000126:transcription factor TFIIIB complex [Component|2sp]; GO:0000976:transcription cis-regulatory region binding [Function|2sp]; GO:0003700:DNA-binding transcription factor activity [Function|2sp]; GO:0005669:transcription factor TFIID complex [Component|2sp]; GO:0006352:DNA-templated transcription initiation [Process|2sp]; GO:0006366:transcription by RNA polymerase II [Process|2sp]; GO:0006383:transcription by RNA polymerase III [Process|2sp]; GO:0009792:embryo development ending in birth or egg hatching [Process|2sp]; GO:0051123:RNA polymerase II preinitiation complex assembly [Process|2sp]
6861	SYT5	synaptotagmin 5	bilaterian	334	sparse	1	fly:Syt1	4	42	Synaptotagmin 1 | molecular function: calcium-dependent phospholipid binding, SNARE binding, phosphatidylserine binding | process: synaptic vesicle endocytosis, chemical synaptic transmission, neurotransmitter secretion, regulation of pole plasm oskar mRNA localization	GO:0005544:calcium-dependent phospholipid binding [Function|4sp]; GO:0000149:SNARE binding [Function|2sp]; GO:0001786:phosphatidylserine binding [Function|2sp]; GO:0008021:synaptic vesicle [Component|2sp]; GO:0031045:dense core granule [Component|2sp]; GO:0048488:synaptic vesicle endocytosis [Process|2sp]; GO:0005515:protein binding [Function|1sp]; GO:0005546:phosphatidylinositol-4,5-bisphosphate binding [Function|1sp]; GO:0007268:chemical synaptic transmission [Process|1sp]; GO:0007269:neurotransmitter secretion [Process|1sp]; GO:0007317:regulation of pole plasm oskar mRNA localization [Process|1sp]; GO:0007626:locomotory behavior [Process|1sp]
55844	PPP2R2D	protein phosphatase 2 regulatory subunit Bdelta	eukaryote	703	sparse	1	yeast:CDC55	4	41	protein phosphatase 2A regulatory subunit CDC55 | molecular function: protein phosphatase regulator activity, enzyme-substrate adaptor activity | process: mitotic cell cycle, achiasmate meiosis I, negative regulation of exit from mitosis, nematode larval development	GO:0000159:protein phosphatase type 2A complex [Component|4sp]; GO:0019888:protein phosphatase regulator activity [Function|4sp]; GO:0005737:cytoplasm [Component|3sp]; GO:0000278:mitotic cell cycle [Process|2sp]; GO:0005634:nucleus [Component|2sp]; GO:0000329:fungal-type vacuole membrane [Component|1sp]; GO:0000705:achiasmate meiosis I [Process|1sp]; GO:0001100:negative regulation of exit from mitosis [Process|1sp]; GO:0002119:nematode larval development [Process|1sp]; GO:0005829:cytosol [Component|1sp]; GO:0005934:cellular bud tip [Component|1sp]; GO:0005935:cellular bud neck [Component|1sp]
7546	ZIC2	Zic family zinc finger 2	bilaterian	828	sparse	2	mouse:Zic2	4	40	zinc finger protein of the cerebellum 2 | molecular function: RNA polymerase II transcription regulatory region sequence-specific DNA binding, RNA polymerase II cis-regulatory region sequence-specific DNA binding, DNA-binding transcription activator activity, RNA polymerase II-specific | process: positive regulation of transcription by RNA polymerase II, anterior/posterior pattern specification, n...	GO:0005634:nucleus [Component|4sp]; GO:0000977:RNA polymerase II transcription regulatory region sequence-specific DNA binding [Function|3sp]; GO:0045944:positive regulation of transcription by RNA polymerase II [Process|3sp]; GO:0000978:RNA polymerase II cis-regulatory region sequence-specific DNA binding [Function|2sp]; GO:0001228:DNA-binding transcription activator activity, RNA polymerase II-specific [Function|2sp]; GO:0005737:cytoplasm [Component|2sp]; GO:0009952:anterior/posterior pattern specification [Process|2sp]; GO:0045892:negative regulation of DNA-templated transcription [Process|2sp]; GO:0000122:negative regulation of transcription by RNA polymerase II [Process|1sp]; GO:0000981:DNA-binding transcription factor activity, RNA polymerase II-specific [Function|1sp]; GO:0001840:neural plate development [Process|1sp]; GO:0001843:neural tube closure [Process|1sp]
127833	SYT2	synaptotagmin 2	bilaterian	532	sparse	2	fly:Syt1	4	38	Synaptotagmin 1 | molecular function: calcium-dependent phospholipid binding, calcium ion binding, phosphatidylserine binding | process: synaptic vesicle endocytosis, chemical synaptic transmission, neurotransmitter secretion, regulation of pole plasm oskar mRNA localization	GO:0005544:calcium-dependent phospholipid binding [Function|4sp]; GO:0005509:calcium ion binding [Function|3sp]; GO:0001786:phosphatidylserine binding [Function|2sp]; GO:0008021:synaptic vesicle [Component|2sp]; GO:0031594:neuromuscular junction [Component|2sp]; GO:0043195:terminal bouton [Component|2sp]; GO:0048488:synaptic vesicle endocytosis [Process|2sp]; GO:0000149:SNARE binding [Function|1sp]; GO:0005886:plasma membrane [Component|1sp]; GO:0007268:chemical synaptic transmission [Process|1sp]; GO:0007269:neurotransmitter secretion [Process|1sp]; GO:0007317:regulation of pole plasm oskar mRNA localization [Process|1sp]
8618	CADPS	calcium dependent secretion activator	bilaterian	803	sparse	1	worm:unc-31	4	36	Calcium-dependent secretion activator | molecular function: calcium ion binding, phosphatidylinositol-4,5-bisphosphate binding, protein kinase binding | process: presynaptic dense core vesicle exocytosis, serotonin secretion, regulation of muscle contraction, ventral cord development	GO:0045202:synapse [Component|4sp]; GO:0031045:dense core granule [Component|2sp]; GO:0098978:glutamatergic synapse [Component|2sp]; GO:0099525:presynaptic dense core vesicle exocytosis [Process|2sp]; GO:0001820:serotonin secretion [Process|1sp]; GO:0005509:calcium ion binding [Function|1sp]; GO:0005546:phosphatidylinositol-4,5-bisphosphate binding [Function|1sp]; GO:0005829:cytosol [Component|1sp]; GO:0006937:regulation of muscle contraction [Process|1sp]; GO:0007419:ventral cord development [Process|1sp]; GO:0007626:locomotory behavior [Process|1sp]; GO:0007635:chemosensory behavior [Process|1sp]
253314	EIF4E1B	eukaryotic translation initiation factor 4E family member 1B	eukaryote	540	sparse	1	fly:eIF4E1	4	36	eukaryotic translation initiation factor 4E1 | molecular function: RNA 7-methylguanosine cap binding, RNA cap binding, RNA trimethylguanosine cap binding | process: positive regulation of translation, nuclear-transcribed mRNA catabolic process, nonsense-mediated decay, oocyte maturation, cytoplasmic translational initiation	GO:0005737:cytoplasm [Component|4sp]; GO:0000340:RNA 7-methylguanosine cap binding [Function|2sp]; GO:0010494:cytoplasmic stress granule [Component|2sp]; GO:0016281:eukaryotic translation initiation factor 4F complex [Component|2sp]; GO:0045727:positive regulation of translation [Process|2sp]; GO:0000184:nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [Process|1sp]; GO:0000339:RNA cap binding [Function|1sp]; GO:0000341:RNA trimethylguanosine cap binding [Function|1sp]; GO:0000932:P-body [Component|1sp]; GO:0001556:oocyte maturation [Process|1sp]; GO:0002183:cytoplasmic translational initiation [Process|1sp]; GO:0003743:translation initiation factor activity [Function|1sp]
4675	NAP1L3	nucleosome assembly protein 1 like 3	eukaryote	241	sparse	2	yeast:NAP1	4	34	histone chaperone NAP1 | molecular function: histone binding, H3-H4 histone complex chaperone activity, H2A-H2B histone complex chaperone activity | process: nucleosome assembly, telomere maintenance, DNA replication-dependent chromatin assembly, nucleosome disassembly	GO:0005737:cytoplasm [Component|4sp]; GO:0006334:nucleosome assembly [Process|2sp]; GO:0042393:histone binding [Function|2sp]; GO:0000510:H3-H4 histone complex chaperone activity [Function|1sp]; GO:0000511:H2A-H2B histone complex chaperone activity [Function|1sp]; GO:0000723:telomere maintenance [Process|1sp]; GO:0005739:mitochondrion [Component|1sp]; GO:0005829:cytosol [Component|1sp]; GO:0005886:plasma membrane [Component|1sp]; GO:0005935:cellular bud neck [Component|1sp]; GO:0006335:DNA replication-dependent chromatin assembly [Process|1sp]; GO:0006337:nucleosome disassembly [Process|1sp]
8395	PIP5K1B	phosphatidylinositol-4-phosphate 5-kinase type 1 beta	eukaryote	554	sparse	2	fly:sktl	4	34	skittles | molecular function: 1-phosphatidylinositol-4-phosphate 5-kinase activity, calmodulin binding, phosphatidylinositol-3-phosphate binding | process: cortical actin cytoskeleton organization, epithelial to mesenchymal transition, apical constriction, phosphatidylinositol biosynthetic process	GO:0005886:plasma membrane [Component|4sp]; GO:0016308:1-phosphatidylinositol-4-phosphate 5-kinase activity [Function|4sp]; GO:0005634:nucleus [Component|2sp]; GO:0030866:cortical actin cytoskeleton organization [Process|2sp]; GO:0001837:epithelial to mesenchymal transition [Process|1sp]; GO:0003383:apical constriction [Process|1sp]; GO:0005516:calmodulin binding [Function|1sp]; GO:0005694:chromosome [Component|1sp]; GO:0005700:polytene chromosome [Component|1sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0005829:cytosol [Component|1sp]; GO:0005938:cell cortex [Component|1sp]
27127	SMC1B	structural maintenance of chromosomes 1B	eukaryote	560	sparse	2	mouse:Smc1b	4	33	structural maintenance of chromosomes 1B | molecular function: DNA binding, protein binding, DNA secondary structure binding | process: mitotic sister chromatid segregation, double-strand break repair, chromosome segregation, sister chromatid cohesion	GO:0005634:nucleus [Component|4sp]; GO:0005694:chromosome [Component|3sp]; GO:0003677:DNA binding [Function|2sp]; GO:0005515:protein binding [Function|2sp]; GO:0008278:cohesin complex [Component|2sp]; GO:0000070:mitotic sister chromatid segregation [Process|1sp]; GO:0000217:DNA secondary structure binding [Function|1sp]; GO:0000444:MIS12/MIND type complex [Component|1sp]; GO:0000775:chromosome, centromeric region [Component|1sp]; GO:0000785:chromatin [Component|1sp]; GO:0000791:euchromatin [Component|1sp]; GO:0000794:condensed nuclear chromosome [Component|1sp]
5338	PLD2	phospholipase D2	eukaryote	631	sparse	2	rat:Pld2	4	32	phospholipase D2 | molecular function: D-type glycerophospholipase activity, protein kinase C binding, phosphatidylinositol-3-phosphate binding | process: cell morphogenesis involved in conjugation with cellular fusion, response to hypoxia, G protein-coupled receptor internalization, phospholipid metabolic process	GO:0004630:D-type glycerophospholipase activity [Function|4sp]; GO:0000753:cell morphogenesis involved in conjugation with cellular fusion [Process|1sp]; GO:0001666:response to hypoxia [Process|1sp]; GO:0002031:G protein-coupled receptor internalization [Process|1sp]; GO:0005080:protein kinase C binding [Function|1sp]; GO:0005628:prospore membrane [Component|1sp]; GO:0005634:nucleus [Component|1sp]; GO:0005768:endosome [Component|1sp]; GO:0005901:caveola [Component|1sp]; GO:0006644:phospholipid metabolic process [Process|1sp]; GO:0006898:receptor-mediated endocytosis [Process|1sp]; GO:0007030:Golgi organization [Process|1sp]
55209	SETD5	SET domain containing 5	eukaryote	859	sparse	2	mouse:Setd5	4	30	SET domain containing 5 | molecular function: histone H3K4me3 reader activity, chromatin binding, transcription corepressor activity | process: chromatin remodeling, regulation of DNA-templated transcription, heart development, determination of adult lifespan	GO:0005634:nucleus [Component|4sp]; GO:0000785:chromatin [Component|2sp]; GO:0000791:euchromatin [Component|2sp]; GO:0140002:histone H3K4me3 reader activity [Function|2sp]; GO:0003682:chromatin binding [Function|1sp]; GO:0003714:transcription corepressor activity [Function|1sp]; GO:0005694:chromosome [Component|1sp]; GO:0005700:polytene chromosome [Component|1sp]; GO:0006338:chromatin remodeling [Process|1sp]; GO:0006355:regulation of DNA-templated transcription [Process|1sp]; GO:0007507:heart development [Process|1sp]; GO:0008340:determination of adult lifespan [Process|1sp]
221400	TDRD6	tudor domain containing 6	bilaterian	824	sparse	0	fly:tud	4	27	tudor | molecular function: protein binding, methylation-dependent protein binding | process: germ cell development, spermatogenesis, P granule assembly, spliceosomal snRNP assembly	GO:0005515:protein binding [Function|4sp]; GO:0005737:cytoplasm [Component|4sp]; GO:0007281:germ cell development [Process|3sp]; GO:0043186:P granule [Component|3sp]; GO:0007283:spermatogenesis [Process|2sp]; GO:0033391:chromatoid body [Component|2sp]; GO:1903863:P granule assembly [Process|2sp]; GO:0000387:spliceosomal snRNP assembly [Process|1sp]; GO:0005634:nucleus [Component|1sp]; GO:0005739:mitochondrion [Component|1sp]; GO:0005783:endoplasmic reticulum [Component|1sp]; GO:0005829:cytosol [Component|1sp]
5990	RFX2	regulatory factor X2	eukaryote	834	sparse	2	mouse:Rfx2	4	24	regulatory factor X, 2 (influences HLA class II expression) | molecular function: RNA polymerase II cis-regulatory region sequence-specific DNA binding, DNA-binding transcription factor activity, sequence-specific DNA binding | process: regulation of transcription by RNA polymerase II, positive regulation of transcription by RNA polymerase II, cilium assembly, negative regulation of transcription...	GO:0000978:RNA polymerase II cis-regulatory region sequence-specific DNA binding [Function|4sp]; GO:0006357:regulation of transcription by RNA polymerase II [Process|4sp]; GO:0003700:DNA-binding transcription factor activity [Function|3sp]; GO:0005634:nucleus [Component|3sp]; GO:0045944:positive regulation of transcription by RNA polymerase II [Process|3sp]; GO:0005737:cytoplasm [Component|2sp]; GO:0043565:sequence-specific DNA binding [Function|2sp]; GO:0060271:cilium assembly [Process|2sp]; GO:0000122:negative regulation of transcription by RNA polymerase II [Process|1sp]; GO:0000977:RNA polymerase II transcription regulatory region sequence-specific DNA binding [Function|1sp]; GO:0001228:DNA-binding transcription activator activity, RNA polymerase II-specific [Function|1sp]; GO:0001675:acrosome assembly [Process|1sp]
57396	CLK4	CDC like kinase 4	eukaryote	507	sparse	2	fly:Doa	4	22	Darkener of apricot | molecular function: protein serine/threonine kinase activity, protein tyrosine kinase activity, protein kinase activity | process: regulation of alternative mRNA splicing, via spliceosome, positive regulation of antimicrobial peptide production, blastoderm segmentation, nervous system development	GO:0005634:nucleus [Component|4sp]; GO:0004674:protein serine/threonine kinase activity [Function|3sp]; GO:0004713:protein tyrosine kinase activity [Function|3sp]; GO:0005737:cytoplasm [Component|3sp]; GO:0004672:protein kinase activity [Function|2sp]; GO:0000381:regulation of alternative mRNA splicing, via spliceosome [Process|1sp]; GO:0002225:positive regulation of antimicrobial peptide production [Process|1sp]; GO:0005783:endoplasmic reticulum [Component|1sp]; GO:0007350:blastoderm segmentation [Process|1sp]; GO:0007399:nervous system development [Process|1sp]; GO:0007548:sex differentiation [Process|1sp]; GO:0009306:protein secretion [Process|1sp]
