deg_dataset,deg_gene_id,gene_name,cog,func_class,description,organism,refseq,condition,uniprot,gi
DEG1001,DEG10010001,dnaA,COG0593L,DNA replication,initiation of chromosome replication,Bacillus subtilis 168,NC_000964,Rich medium,P05648,16077069
DEG1001,DEG10010002,dnaN,COG0592L,DNA replication,DNA polymerase III (beta subunit),Bacillus subtilis 168,NC_000964,Rich medium,P05649,16077070
DEG1001,DEG10010003,gyrB,COG0187L,DNA packaging,DNA gyrase (subunit B),Bacillus subtilis 168,NC_000964,Rich medium,P05652,16077074
DEG1001,DEG10010004,gyrA,COG0188L,DNA packaging,DNA gyrase (subunit A),Bacillus subtilis 168,NC_000964,Rich medium,P05653,16077075
DEG1001,DEG10010005,guaB,COG0516F,purine biosynthesis,inosine-monophosphate dehydrogenase,Bacillus subtilis 168,NC_000964,Rich medium,P21879,16077077
DEG1001,DEG10010006,serS,COG0172J,tRNA synthetase,seryl-tRNA synthetase,Bacillus subtilis 168,NC_000964,Rich medium,P37464,16077081
DEG1001,DEG10010007,dnaX,COG2812L,DNA replication,DNA polymerase III (gamma and tau subunits),Bacillus subtilis 168,NC_000964,Rich medium,P09122,255767015
DEG1001,DEG10010008,tmk/tdk,COG0125F,pyrimidine biosynthesis,thymidylate kinase,Bacillus subtilis 168,NC_000964,Rich medium,P37537,255767017
DEG1001,DEG10010009,holB,COG0470L,DNA replication,DNA polymerase III (delta' subunit),Bacillus subtilis 168,NC_000964,Rich medium,P37540,16077099
DEG1001,DEG10010010,metS/metG,COG0143J,tRNA synthetase,methionyl-tRNA synthetase,Bacillus subtilis 168,NC_000964,Rich medium,P37465,16077106
DEG1001,DEG10010011,ispE,COG1947I,isoprenoid biosynthesis,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase,Bacillus subtilis 168,NC_000964,Rich medium,P37550,16077114
DEG1001,DEG10010012,gcaD,COG1207M,aminosugar metabolism,UDP-N-acetylglucosamine pyrophosphorylase,Bacillus subtilis 168,NC_000964,Rich medium,P14192,16077118
DEG1001,DEG10010013,prs,COG0462FE,glycolysis,phosphoribosylpyrophosphate synthetase,Bacillus subtilis 168,NC_000964,Rich medium,P14193,16077119
DEG1001,DEG10010014,spoVC,COG0193J,RNA modification,peptidyl-tRNA hydrolase,Bacillus subtilis 168,NC_000964,Rich medium,P37470,16077121
DEG1001,DEG10010015,divIC,COG2919D,cell division,cell-division initiation protein (septum formation),Bacillus subtilis 168,NC_000964,Rich medium,P37471,16077130
DEG1001,DEG10010016,yacA,COG0037D,unknown,conserved protein,Bacillus subtilis 168,NC_000964,Rich medium,P37563,16077135
DEG1001,DEG10010017,hprT,COG0634F,purine biosynthesis,hypoxanthine-guanine phosphoribosyltransferase,Bacillus subtilis 168,NC_000964,Rich medium,P37472,16077136
DEG1001,DEG10010018,lysS,COG1190J,tRNA synthetase,lysyl-tRNA synthetase,Bacillus subtilis 168,NC_000964,Rich medium,P37477,16077150
DEG1001,DEG10010019,yacM/ispD,COG1211I,isoprenoid biosynthesis,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Bacillus subtilis 168,NC_000964,Rich medium,Q06755,16077158
DEG1001,DEG10010020,yacN/ispF,COG0245I,isoprenoid biosynthesis,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",Bacillus subtilis 168,NC_000964,Rich medium,Q06756,16077159
DEG1001,DEG10010021,gltX,COG0008J,tRNA synthetase,glutamyl-tRNA synthetase,Bacillus subtilis 168,NC_000964,Rich medium,P22250,16077160
