symbol	gene_id	accession	depth_ncbi	deepest_domain	n_hits	n_species_hit	clades_hit	reaches_prokaryote	best_prokaryote_species	best_prokaryote_evalue	best_prokaryote_hit	prokaryote_method	prokaryote_reciprocal_best_hit	profile_seeds	pfam	inferred_function
METTL25B	51093	Q96FB5	bilaterian	bacteria	27	13	bacteria,archaea,excavata,amoebozoa,plant,choanoflagellate,porifera,placozoa,cnidaria,echinoderm,cephalochordate,tunicate	1	Mycobacterium tuberculosis H37Rv	1.35e-05	Probable trans-aconitate 2-methyltransferase OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) OX=83332 GN=tam P	profile	1	17	PF13679;	Methyltransferase domain-containing protein
ACYP1	97	P07311	bilaterian	bacteria	28	17	bacteria,archaea,excavata,apicomplexa,plant,alga,cnidaria,echinoderm,cephalochordate,tunicate	1	Thermococcus kodakarensis	1.57e-19	Acylphosphatase OS=Thermococcus kodakarensis (strain ATCC BAA-918 / JCM 12380 / KOD1) OX=69014 GN=acyP PE=3 SV=1	profile	1	15	PF00708;	Acylphosphatase | molecular function: acylphosphatase activity, protein binding, hydrolase activity
SDR42E1	93517	Q8WUS8	bilaterian	bacteria	218	24	bacteria,archaea,excavata,amoebozoa,plant,alga,fungi_other,choanoflagellate,porifera,placozoa,cnidaria,echinoderm,cephalochordate,tunicate	1	Mycobacterium tuberculosis H37Rv	2.39e-74	3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) OX=8	profile	1	60	PF01073;	3beta-hydroxysteroid dehydrogenase/Delta(5)-Delta(4) isomerase 1 | molecular function: 3-beta-hydroxy-Delta5-steroid dehydrogenase (NAD+) activity | process: nematode larval development, sterol biosynthetic process
AMMECR1L	83607	Q6DCA0	eukaryote	archaea	19	18	archaea,excavata,apicomplexa,amoebozoa,plant,alga,fungi_other,choanoflagellate,porifera,placozoa,cnidaria,echinoderm,cephalochordate,tunicate	1	Methanocaldococcus jannaschii	2.76e-22	Protein MJ0810 OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) OX=2432	profile	1	15	PF01871;	uncharacterized protein
MCTS2	100101490	A0A3B3IRV3	eukaryote	archaea	34	18	archaea,excavata,apicomplexa,amoebozoa,plant,alga,fungi_other,choanoflagellate,porifera,placozoa,cnidaria,echinoderm,cephalochordate,tunicate	1	Methanocaldococcus jannaschii	3.03e-31	Uncharacterized protein MJ1432 OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC	profile	1	27	PF17832;PF01472;	translation machinery-associated protein 20 | molecular function: protein binding | process: nuclear-transcribed mRNA catabolic process, nonsense-mediated decay, translation reinitiation, ribosome biogenesis
PPM1N	147699	Q8N819	eukaryote	bacteria	270	19	bacteria,excavata,apicomplexa,amoebozoa,plant,alga,fungi_other,choanoflagellate,porifera,placozoa,cnidaria,echinoderm,cephalochordate,tunicate	1	Bacillus subtilis 168	8.62e-11	Protein phosphatase PrpC OS=Bacillus subtilis (strain 168) OX=224308 GN=prpC PE=1 SV=1	profile	1	60	PF00481;PF07830;	type 2C protein phosphatase PTC2 | molecular function: protein serine/threonine phosphatase activity, protein binding, MAP kinase serine/threonine phosphatase activity | process: positive regulation of autophagy, negative regulation of endoplasmic reticulum unfolded protein response, negative regulation of p38MAPK cascade, regulation of mitotic DNA damage checkpoint
DIP2C	22982	Q9Y2E4	eukaryote	bacteria	89	16	bacteria,archaea,amoebozoa,plant,fungi_other,choanoflagellate,porifera,placozoa,cnidaria,echinoderm,cephalochordate,tunicate	1	Mycobacterium tuberculosis H37Rv	9.92e-57	4-hydroxyphenylalkanoate adenylyltransferase OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) OX=83332 GN=fadD2	profile	1	24	PF00501;PF23024;PF06464;	Cmr2p | molecular function: protein binding | process: response to osmotic stress, axon guidance, brain development, gene expression
DNAJC5G	285126	Q8N7S2	bilaterian	bacteria	372	23	bacteria,archaea,excavata,apicomplexa,amoebozoa,plant,alga,fungi_other,choanoflagellate,porifera,placozoa,cnidaria,echinoderm,cephalochordate,tunicate	1	Synechocystis sp. PCC 6803	1.04e-26	DnAJ-like protein slr0093 OS=Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa) OX=1111708 GN=slr0093 PE=4 SV=1	profile	0	60	PF00226;	Cysteine string protein | process: exocytosis, neurotransmitter secretion, determination of adult lifespan, locomotion
GOLGA8J	653073	A6NMD2	bilaterian	bacteria	5	4	bacteria,fungi_other,echinoderm	1	Thermus thermophilus HB8	1.06e-06	Apolipoprotein A1/A4/E OS=Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8) OX=300852 GN=TTHA1223 PE=4 SV=1	profile	0	1	PF19046;PF15070;	Golgi matrix protein 130 kD | molecular function: small GTPase binding | process: Golgi organization, positive regulation of dendrite morphogenesis
HNRNPCL4	101060301	B7ZW38	eukaryote	bacteria	203	15	bacteria,excavata,apicomplexa,amoebozoa,plant,alga,fungi_other,choanoflagellate,porifera,placozoa,cnidaria,echinoderm,cephalochordate,tunicate	1	Synechocystis sp. PCC 6803	1.07e-12	Putative RNA-binding protein RbpA OS=Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa) OX=1111708 GN=rbpA PE=3 S	profile	0	60	PF00076;	Nab3p | molecular function: protein binding, transcription regulatory region RNA binding, RNA binding | process: termination of RNA polymerase II transcription, exosome-dependent, mRNA 3'-end processing, sno(s)RNA 3'-end processing, snRNA 3'-end processing
CDKL4	344387	Q5MAI5	bilaterian	bacteria	5625	20	bacteria,excavata,apicomplexa,amoebozoa,plant,alga,fungi_other,choanoflagellate,porifera,placozoa,cnidaria,echinoderm,cephalochordate,tunicate	1	Bacillus subtilis 168	1.10e-27	Serine/threonine-protein kinase PrkC OS=Bacillus subtilis (strain 168) OX=224308 GN=prkC PE=1 SV=1	profile	0	60	PF00069;	Cyclin-dependent kinase-like 1;cyclin-dependent kinase | process: regulation of cilium assembly, non-motile cilium assembly
GOLGA8M	653720	H3BSY2	bilaterian	bacteria	5	5	bacteria,archaea,fungi_other,echinoderm	1	Thermus thermophilus HB8	1.11e-06	Apolipoprotein A1/A4/E OS=Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8) OX=300852 GN=TTHA1223 PE=4 SV=1	profile	0	1	PF19046;PF15070;	Golgi matrix protein 130 kD | molecular function: small GTPase binding | process: Golgi organization, positive regulation of dendrite morphogenesis
ATP13A5	344905	Q4VNC0	eukaryote	bacteria	364	25	bacteria,archaea,excavata,apicomplexa,amoebozoa,plant,alga,fungi_other,choanoflagellate,porifera,placozoa,cnidaria,echinoderm,cephalochordate,tunicate	1	Bacillus subtilis 168	1.19e-175	Calcium-transporting ATPase OS=Bacillus subtilis (strain 168) OX=224308 GN=yloB PE=1 SV=1	profile	0	60	PF13246;PF00690;PF00122;PF12409;	putative acid anhydride hydrolase | molecular function: zinc ion binding, manganese ion binding, cupric ion binding | process: protein folding, intracellular zinc ion homeostasis, intracellular manganese ion homeostasis
ABCF2-H2BK1	114483834	AAS00378.1	eukaryote	bacteria	1333	26	bacteria,archaea,excavata,apicomplexa,amoebozoa,plant,alga,fungi_other,choanoflagellate,porifera,placozoa,cnidaria,echinoderm,cephalochordate,tunicate	1	Escherichia coli K-12	1.26e-206	Probable ATP-binding protein YheS OS=Escherichia coli (strain K12) OX=83333 GN=yheS PE=1 SV=1	profile	0	60		ATP-binding cassette family ATPase ARB1 | molecular function: ATP hydrolysis activity | process: ribosomal small subunit export from nucleus, protein quality control for misfolded or incompletely synthesized proteins, ribosome biogenesis, protein unfolding
TANGO6	79613	Q9C0B7	eukaryote	bacteria	35	19	bacteria,archaea,amoebozoa,fungi_other,choanoflagellate,porifera,placozoa,cnidaria,echinoderm,cephalochordate,tunicate	1	Synechocystis sp. PCC 6803	1.41e-43	cysteine desulfurase OS=Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa) OX=1111708 GN=nifS PE=3 SV=1	profile	0	7	PF23565;PF10363;PF10304;PF25267;	Transport and Golgi organization 6 | process: protein import into nucleus, Golgi organization, protein secretion
PLCXD2	257068	A0A1B0GW80	bilaterian	bacteria	22	11	bacteria,excavata,amoebozoa,alga,choanoflagellate,placozoa,cnidaria,echinoderm,cephalochordate,tunicate	1	Synechocystis sp. PCC 6803	1.43e-11	Protein sll1483 OS=Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa) OX=1111708 GN=sll1483 PE=1 SV=1	profile	0	18		Phosphatidylinositol-specific phospholipase C X domain containing | process: endosome organization
GPX6	257202	P59796	bilaterian	bacteria	63	15	bacteria,excavata,apicomplexa,plant,alga,fungi_other,choanoflagellate,porifera,placozoa,cnidaria,echinoderm,cephalochordate,tunicate	1	Synechocystis sp. PCC 6803	1.43e-53	Hydroperoxy fatty acid reductase gpx1 OS=Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa) OX=1111708 GN=gpx1 PE	profile	0	56	PF00255;	Glutathione peroxidase | process: response to reactive oxygen species
