organism,locus_tag,b_number,gene_name,product,source
beril_Keio,14147,b0002,thrA,fused aspartate kinase/homoserine dehydrogenase 1,synteny_walk
beril_Keio,14148,b0003,thrB,homoserine kinase,anchor_product
beril_Keio,14149,b0004,thrC,threonine synthase,anchor_product
beril_Keio,14151,b0005,yaaX,DUF2502 domain-containing protein YaaX,synteny_chain
beril_Keio,14152,b0006,yaaA,DNA binding and peroxide stress response protein YaaA,synteny_chain
beril_Keio,14153,b0007,yaaJ,putative transporter YaaJ,synteny_chain
beril_Keio,14154,b0008,talB,transaldolase B,synteny_chain
beril_Keio,14155,b0009,mog,molybdopterin adenylyltransferase,synteny_chain
beril_Keio,14156,b0010,satP,acetate/succinate:H(+) symporter,synteny_chain
beril_Keio,14158,b0019,nhaA,Na(+):H(+) antiporter NhaA,synteny_chain
beril_Keio,14159,b0020,nhaR,DNA-binding transcriptional activator NhaR,synteny_chain
beril_Keio,14160,b0021,insB1,IS1 family protein InsB,synteny_chain
beril_Keio,14164,b0022,insA1,IS1 family protein InsA,synteny_chain
beril_Keio,14165,b0023,rpsT,30S ribosomal subunit protein S20,synteny_chain
beril_Keio,14168,b0024,yaaY,DUF2575 domain-containing protein YaaY,synteny_chain
beril_Keio,14170,b0025,ribF,bifunctional riboflavin kinase/FMN adenylyltransferase,synteny_walk
beril_Keio,14171,b0026,ileS,isoleucine--tRNA ligase,anchor_product
beril_Keio,14172,b0027,lspA,lipoprotein signal peptidase,synteny_walk
beril_Keio,14173,b0028,fkpB,peptidyl-prolyl cis-trans isomerase FkpB,synteny_walk
beril_Keio,14174,b0029,ispH,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,anchor_product
beril_Keio,14175,b0030,rihC,ribonucleoside hydrolase RihC,synteny_walk
beril_Keio,14176,b0031,dapB,4-hydroxy-tetrahydrodipicolinate reductase,anchor_product
beril_Keio,14177,b0032,carA,carbamoyl-phosphate synthetase small subunit,synteny_walk
beril_Keio,14178,b0033,carB,carbamoyl-phosphate synthetase large subunit,synteny_walk
beril_Keio,14181,b0034,caiF,DNA-binding transcriptional activator CaiF,synteny_chain
beril_Keio,14182,b0035,caiE,putative transferase CaiE,synteny_chain
beril_Keio,14183,b0036,caiD,crotonobetainyl-CoA hydratase,synteny_chain
beril_Keio,14184,b0037,caiC,carnitine--CoA ligase,synteny_chain
beril_Keio,14185,b0038,caiB,gamma-butyrobetainyl-CoA:carnitine CoA transferase,synteny_chain
beril_Keio,14186,b0040,caiT,L-carnitine:gamma-butyrobetaine antiporter,synteny_chain
beril_Keio,14187,b0041,fixA,putative electron transfer flavoprotein FixA,synteny_chain
beril_Keio,14188,b0042,fixB,putative electron transfer flavoprotein FixB,synteny_chain
beril_Keio,14189,b0043,fixC,putative oxidoreductase FixC,synteny_chain
beril_Keio,14190,b0044,fixX,putative ferredoxin FixX,synteny_walk
beril_Keio,14191,b0045,yaaU,putative transporter YaaU,synteny_walk
