organism,locus_tag,og_id,cooccur_max_jaccard,cooccur_n_neighbors_50,cooccur_n_neighbors_80,cooccur_essential_neighbor_frac
beril_acidovorax_3H11,Ac3H11_516,OG00000,0.9167,1654,59,0.2944
beril_Marino,GFF2672,OG00000,0.9167,1654,59,0.2944
beril_Caulo,CCNA_02239,OG00000,0.9167,1654,59,0.2944
beril_Phaeo,GFF2884,OG00000,0.9167,1654,59,0.2944
beril_WCS417,GFF4012,OG00000,0.9167,1654,59,0.2944
beril_pseudo13_GW456_L13,PfGW456L13_4463,OG00000,0.9167,1654,59,0.2944
beril_BFirm,BPHYT_RS05475,OG00000,0.9167,1654,59,0.2944
beril_Magneto,AMB_RS17495,OG00000,0.9167,1654,59,0.2944
beril_pseudo5_N2C3_1,AO356_04255,OG00000,0.9167,1654,59,0.2944
beril_Kang,B158DRAFT_1375,OG00000,0.9167,1654,59,0.2944
beril_ANA3,7025326,OG00000,0.9167,1654,59,0.2944
beril_psRCH2,GFF1584,OG00000,0.9167,1654,59,0.2944
beril_pseudo3_N2E3,AO353_18260,OG00000,0.9167,1654,59,0.2944
beril_MR1,201114,OG00000,0.9167,1654,59,0.2944
beril_RalstoniaGMI1000,RS_RS11785,OG00000,0.9167,1654,59,0.2944
beril_pseudo1_N1B4,Pf1N1B4_3393,OG00000,0.9167,1654,59,0.2944
beril_RalstoniaBSBF1503,RALBFv3_RS04195,OG00000,0.9167,1654,59,0.2944
beril_Dino,3606704,OG00000,0.9167,1654,59,0.2944
beril_SyringaeB728a_mexBdelta,Psyr_3828,OG00000,0.9167,1654,59,0.2944
beril_azobra,AZOBR_RS05150,OG00000,0.9167,1654,59,0.2944
beril_SyringaeB728a,Psyr_3828,OG00000,0.9167,1654,59,0.2944
beril_Dyella79,N515DRAFT_1346,OG00000,0.9167,1654,59,0.2944
beril_Cup4G11,RR42_RS04295,OG00000,0.9167,1654,59,0.2944
beril_pseudo6_N2E2,Pf6N2E2_2687,OG00000,0.9167,1654,59,0.2944
beril_PV4,5209704,OG00000,0.9167,1654,59,0.2944
beril_Putida,PP_4543,OG00000,0.9167,1654,59,0.2944
beril_Korea,Ga0059261_1390,OG00000,0.9167,1654,59,0.2944
beril_Smeli,SMc02105,OG00000,0.9167,1654,59,0.2944
beril_Burk376,H281DRAFT_00217,OG00000,0.9167,1654,59,0.2944
beril_SynE,Synpcc7942_1187,OG00000,0.9167,1654,59,0.2944
beril_RalstoniaPSI07,RPSI07_RS13155,OG00000,0.9167,1654,59,0.2944
beril_RalstoniaUW163,UW163_RS09475,OG00000,0.9167,1654,59,0.2944
beril_HerbieS,HSERO_RS09450,OG00000,0.9167,1654,59,0.2944
beril_pseudo6_N2E2,Pf6N2E2_4010,OG00001,1.0,1694,66,0.2863
beril_RalstoniaGMI1000,RS_RS12300,OG00001,1.0,1694,66,0.2863
beril_BFirm,BPHYT_RS15655,OG00001,1.0,1694,66,0.2863
beril_Putida,PP_0217,OG00001,1.0,1694,66,0.2863
beril_pseudo13_GW456_L13,PfGW456L13_491,OG00001,1.0,1694,66,0.2863
beril_acidovorax_3H11,Ac3H11_1705,OG00001,1.0,1694,66,0.2863
beril_pseudo1_N1B4,Pf1N1B4_1730,OG00001,1.0,1694,66,0.2863
beril_Burk376,H281DRAFT_04072,OG00001,1.0,1694,66,0.2863
beril_PV4,5207602,OG00001,1.0,1694,66,0.2863
beril_ANA3,7022927,OG00001,1.0,1694,66,0.2863
beril_HerbieS,HSERO_RS05930,OG00001,1.0,1694,66,0.2863
beril_pseudo5_N2C3_1,AO356_10700,OG00001,1.0,1694,66,0.2863
beril_pseudo3_N2E3,AO353_11525,OG00001,1.0,1694,66,0.2863
beril_Kang,B158DRAFT_1830,OG00001,1.0,1694,66,0.2863
beril_SyringaeB728a_mexBdelta,Psyr_0087,OG00001,1.0,1694,66,0.2863
beril_SB2B,6935976,OG00001,1.0,1694,66,0.2863
beril_Dyella79,N515DRAFT_4160,OG00001,1.0,1694,66,0.2863
beril_Cup4G11,RR42_RS17025,OG00001,1.0,1694,66,0.2863
beril_WCS417,GFF182,OG00001,1.0,1694,66,0.2863
beril_RalstoniaPSI07,RPSI07_RS12645,OG00001,1.0,1694,66,0.2863
beril_MR1,199394,OG00001,1.0,1694,66,0.2863
beril_psRCH2,GFF4221,OG00001,1.0,1694,66,0.2863
beril_PS,Dsui_1532,OG00001,1.0,1694,66,0.2863
beril_RalstoniaBSBF1503,RALBFv3_RS04740,OG00001,1.0,1694,66,0.2863
beril_SyringaeB728a,Psyr_0087,OG00001,1.0,1694,66,0.2863
beril_RalstoniaUW163,UW163_RS08930,OG00001,1.0,1694,66,0.2863
beril_Marino,GFF3550,OG00001,1.0,1694,66,0.2863
beril_SB2B,6936697,OG00002,0.9,1114,3,0.3923
beril_acidovorax_3H11,Ac3H11_1562,OG00002,0.9,1114,3,0.3923
beril_Burk376,H281DRAFT_04366,OG00002,0.9,1114,3,0.3923
beril_Smeli,SMc02654,OG00002,0.9,1114,3,0.3923
beril_Dino,3606767,OG00002,0.9,1114,3,0.3923
beril_Caulo,CCNA_01627,OG00002,0.9,1114,3,0.3923
beril_Ddia6719,HGI48_RS15800,OG00002,0.9,1114,3,0.3923
beril_Korea,Ga0059261_2012,OG00002,0.9,1114,3,0.3923
beril_Koxy,BWI76_RS21300,OG00002,0.9,1114,3,0.3923
