gene_id	symbol	name	conservation_depth	ortholog_yeast	ortholog_fly	ortholog_worm	ortholog_evidence_source	max_species_support	n_ortholog_novel_go	ortholog_inferred_function	ortholog_novel_go_terms
102800317	TPTEP2-CSNK1E	TPTEP2-CSNK1E readthrough	eukaryote	HRR25	dco	kin-20	yeast:HRR25	3	53	serine/threonine protein kinase HRR25 | molecular function: protein serine/threonine kinase activity, protein binding, protein kinase activity | process: pexophagy, tRNA wobble uridine modification, DNA repair, cell communication	GO:0004674:protein serine/threonine kinase activity [Function|3sp]; GO:0005634:nucleus [Component|3sp]; GO:0005515:protein binding [Function|2sp]; GO:0005737:cytoplasm [Component|2sp]; GO:0005829:cytosol [Component|2sp]; GO:0005886:plasma membrane [Component|2sp]; GO:0000425:pexophagy [Process|1sp]; GO:0000775:chromosome, centromeric region [Component|1sp]; GO:0000932:P-body [Component|1sp]; GO:0002098:tRNA wobble uridine modification [Process|1sp]; GO:0004672:protein kinase activity [Function|1sp]; GO:0004713:protein tyrosine kinase activity [Function|1sp]
440730	TRIM67	tripartite motif containing 67	bilaterian		Trim9	madd-2	worm:madd-2	3	29	E3 ubiquitin-protein ligase TRIM9 | molecular function: protein binding, ubiquitin-protein transferase activity, signaling receptor binding | process: axon midline choice point recognition, axonogenesis, axon guidance, positive regulation of neuron projection development	GO:0005515:protein binding [Function|3sp]; GO:0016199:axon midline choice point recognition [Process|2sp]; GO:0004842:ubiquitin-protein transferase activity [Function|1sp]; GO:0005102:signaling receptor binding [Function|1sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0007409:axonogenesis [Process|1sp]; GO:0007411:axon guidance [Process|1sp]; GO:0010976:positive regulation of neuron projection development [Process|1sp]; GO:0016567:protein ubiquitination [Process|1sp]; GO:0030031:cell projection assembly [Process|1sp]; GO:0031175:neuron projection development [Process|1sp]; GO:0031252:cell leading edge [Component|1sp]
84249	PSD2	pleckstrin and Sec7 domain containing 2	bilaterian		Efa6	efa-6	worm:efa-6	3	27	Exchange factor for Arf-6 | molecular function: protein binding, microtubule binding | process: compound eye morphogenesis, microtubule depolymerization, mitotic nuclear membrane disassembly, negative regulation of microtubule polymerization	GO:0005886:plasma membrane [Component|3sp]; GO:0005938:cell cortex [Component|2sp]; GO:0001745:compound eye morphogenesis [Process|1sp]; GO:0005515:protein binding [Function|1sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0005912:adherens junction [Component|1sp]; GO:0007019:microtubule depolymerization [Process|1sp]; GO:0007077:mitotic nuclear membrane disassembly [Process|1sp]; GO:0008017:microtubule binding [Function|1sp]; GO:0030424:axon [Component|1sp]; GO:0030425:dendrite [Component|1sp]; GO:0031115:negative regulation of microtubule polymerization [Process|1sp]
139420	PPP4R3C	protein phosphatase 4 regulatory subunit 3C	eukaryote	PSY2	flfl	smk-1	yeast:PSY2	3	18	Psy2p | molecular function: protein binding, protein phosphatase regulator activity | process: DNA damage response, negative regulation of mitotic DNA damage checkpoint, DNA repair, response to UV	GO:0005634:nucleus [Component|3sp]; GO:0005515:protein binding [Function|2sp]; GO:0006974:DNA damage response [Process|2sp]; GO:0030289:protein phosphatase 4 complex [Component|2sp]; GO:1904290:negative regulation of mitotic DNA damage checkpoint [Process|2sp]; GO:0000775:chromosome, centromeric region [Component|1sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0006281:DNA repair [Process|1sp]; GO:0009411:response to UV [Process|1sp]; GO:0010165:response to X-ray [Process|1sp]; GO:0019888:protein phosphatase regulator activity [Function|1sp]; GO:0042742:defense response to bacterium [Process|1sp]
9535	GMFG	glia maturation factor gamma	eukaryote	AIM7	GMF	Y50D7A.10	fly:GMF	3	12	Glia maturation factor | molecular function: Arp2/3 complex binding | process: negative regulation of Arp2/3 complex-mediated actin nucleation, actin filament debranching, border follicle cell migration, regulation of actin filament polymerization	GO:0034316:negative regulation of Arp2/3 complex-mediated actin nucleation [Process|3sp]; GO:0071846:actin filament debranching [Process|3sp]; GO:0005634:nucleus [Component|2sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0007298:border follicle cell migration [Process|1sp]; GO:0030027:lamellipodium [Component|1sp]; GO:0030479:actin cortical patch [Component|1sp]; GO:0030833:regulation of actin filament polymerization [Process|1sp]; GO:0031344:regulation of cell projection organization [Process|1sp]; GO:0048471:perinuclear region of cytoplasm [Component|1sp]; GO:0071933:Arp2/3 complex binding [Function|1sp]; GO:0071944:cell periphery [Component|1sp]
645545	IGBP1C	IGBP1 family member C	eukaryote	TAP42	Tap42	ppfr-4	fly:Tap42	3	11	Two A-associated protein of 42kDa | molecular function: protein binding, protein phosphatase inhibitor activity, protein phosphatase regulator activity | process: mitotic spindle organization, wing disc morphogenesis, embryo development ending in birth or egg hatching, positive regulation of transcription by RNA polymerase I	GO:0005515:protein binding [Function|3sp]; GO:0000159:protein phosphatase type 2A complex [Component|2sp]; GO:0004864:protein phosphatase inhibitor activity [Function|1sp]; GO:0005829:cytosol [Component|1sp]; GO:0007052:mitotic spindle organization [Process|1sp]; GO:0007472:wing disc morphogenesis [Process|1sp]; GO:0009792:embryo development ending in birth or egg hatching [Process|1sp]; GO:0019888:protein phosphatase regulator activity [Function|1sp]; GO:0045943:positive regulation of transcription by RNA polymerase I [Process|1sp]; GO:1903361:protein localization to basolateral plasma membrane [Process|1sp]; GO:1903432:regulation of TORC1 signaling [Process|1sp]
140432	RNF113B	ring finger protein 113B	eukaryote	CWC24	mdlc	rnf-113	yeast:CWC24	3	11	U2-type spliceosomal complex subunit CWC24 | molecular function: ubiquitin-protein transferase activity | process: generation of catalytic spliceosome for first transesterification step, mRNA splicing, via spliceosome, protein ubiquitination, neuron differentiation	GO:0005634:nucleus [Component|3sp]; GO:0000349:generation of catalytic spliceosome for first transesterification step [Process|1sp]; GO:0000398:mRNA splicing, via spliceosome [Process|1sp]; GO:0000974:Prp19 complex [Component|1sp]; GO:0004842:ubiquitin-protein transferase activity [Function|1sp]; GO:0005681:spliceosomal complex [Component|1sp]; GO:0005684:U2-type spliceosomal complex [Component|1sp]; GO:0016567:protein ubiquitination [Process|1sp]; GO:0030182:neuron differentiation [Process|1sp]; GO:0034247:snoRNA splicing [Process|1sp]; GO:0043484:regulation of RNA splicing [Process|1sp]
89932	PAPLN	papilin, proteoglycan like sulfated glycoprotein	bilaterian		Ppn	mig-6	worm:mig-6	3	9	Papilin | molecular function: extracellular matrix structural constituent | process: cell morphogenesis, nematode larval development, embryo development ending in birth or egg hatching, extracellular matrix organization	GO:0005604:basement membrane [Component|3sp]; GO:0000902:cell morphogenesis [Process|1sp]; GO:0002119:nematode larval development [Process|1sp]; GO:0005201:extracellular matrix structural constituent [Function|1sp]; GO:0009792:embryo development ending in birth or egg hatching [Process|1sp]; GO:0030198:extracellular matrix organization [Process|1sp]; GO:0031012:extracellular matrix [Component|1sp]; GO:0048598:embryonic morphogenesis [Process|1sp]; GO:0097628:distal tip cell migration [Process|1sp]
286046	XKR6	XK related 6	bilaterian		Xkr	ced-8	worm:ced-8	3	9	Cell death abnormality protein 8 | molecular function: phospholipid scramblase activity | process: embryo development ending in birth or egg hatching, programmed cell death, plasma membrane phospholipid scrambling, engulfment of apoptotic cell	GO:0005886:plasma membrane [Component|3sp]; GO:0017128:phospholipid scramblase activity [Function|2sp]; GO:0009792:embryo development ending in birth or egg hatching [Process|1sp]; GO:0012501:programmed cell death [Process|1sp]; GO:0017121:plasma membrane phospholipid scrambling [Process|1sp]; GO:0043652:engulfment of apoptotic cell [Process|1sp]; GO:0070782:phosphatidylserine exposure on apoptotic cell surface [Process|1sp]; GO:0097194:execution phase of apoptosis [Process|1sp]; GO:1902742:apoptotic process involved in development [Process|1sp]
653427	FOXD4L5	forkhead box D4 like 5	eukaryote	FKH1		unc-130	yeast:FKH1	2	31	forkhead family transcription factor FKH1 | molecular function: RNA polymerase II transcription regulatory region sequence-specific DNA binding, RNA polymerase II cis-regulatory region sequence-specific DNA binding, DNA-binding transcription repressor activity, RNA polymerase II-specific | process: negative regulation of transcription by RNA polymerase II, G1/S transition of mitotic cell cycle, G2...	GO:0000122:negative regulation of transcription by RNA polymerase II [Process|2sp]; GO:0005634:nucleus [Component|2sp]; GO:0000082:G1/S transition of mitotic cell cycle [Process|1sp]; GO:0000086:G2/M transition of mitotic cell cycle [Process|1sp]; GO:0000977:RNA polymerase II transcription regulatory region sequence-specific DNA binding [Function|1sp]; GO:0000978:RNA polymerase II cis-regulatory region sequence-specific DNA binding [Function|1sp]; GO:0001227:DNA-binding transcription repressor activity, RNA polymerase II-specific [Function|1sp]; GO:0001228:DNA-binding transcription activator activity, RNA polymerase II-specific [Function|1sp]; GO:0003682:chromatin binding [Function|1sp]; GO:0003688:DNA replication origin binding [Function|1sp]; GO:0003714:transcription corepressor activity [Function|1sp]; GO:0005515:protein binding [Function|1sp]
