locus_tag,product,tier,predicted_call,confidence,evidence,measured_essential,ess_score,noness_score,conservation,n_paralogs,gene_len_aa,leading,mobile_dist_kb,n_sisters,max_sisters,cross_validated
AMB_RS00005,,UNRESOLVED,unknown,0,E_cons_core,1,0.7709296161124057,0.16381680960134695,0.6571428571428571,0.0,442,1,36.91,3,3,False
AMB_RS00010,,UNRESOLVED,unknown,0,E_cons_core,0,0.697166080617906,0.25939315875617164,0.6571428571428571,0.0,638,1,38.54,3,3,False
AMB_RS00015,,ROGUE_SUSPECT,unknown,0,E_geometry|N_score|P_rogue,0,0.3027368666122113,0.7321734068182003,0.0909090909090909,0.0,211,1,39.86,3,3,False
AMB_RS00020,,UNRESOLVED,unknown,0,E_cons_core|E_geometry|F_core_redundant,1,0.8704769125253214,0.11372236254949644,0.7027027027027027,4.0,266,1,40.55,3,3,False
AMB_RS00025,,UNRESOLVED,unknown,0,E_cons_core|E_geometry,1,0.7989059121783683,0.14363526322362033,0.6333333333333333,0.0,315,1,41.43,3,3,False
AMB_RS00035,,CONFIDENT_NONESSENTIAL,non-essential,2,E_geometry|N_score|N_pangenome_some,0,0.303363882247982,0.689829831613437,0.0714285714285714,1.0,164,1,42.6,2,3,False
AMB_RS00045,,CONFIDENT_NONESSENTIAL,non-essential,2,E_geometry|N_score|N_pangenome_some,0,0.2171000245761388,0.8061058529621877,0.0384615384615384,0.0,311,1,43.77,2,3,False
AMB_RS00050,,ROGUE_SUSPECT,unknown,0,E_geometry|N_score|P_rogue,0,0.2488722113993746,0.7671660710329609,0.037037037037037,0.0,220,1,44.57,3,3,False
AMB_RS00055,,UNRESOLVED,unknown,0,E_cons_core|E_geometry|N_pangenome_some,1,0.9569450401508144,0.027879060009968554,0.8928571428571429,0.0,66,1,45.01,2,3,True
AMB_RS00060,,CONFIDENT_NONESSENTIAL,non-essential,2,E_geometry|N_score|N_pangenome_some,0,0.4855019712705868,0.487761981014363,0.238095238095238,0.0,152,1,45.33,2,3,False
AMB_RS00065,,CONFIDENT_NONESSENTIAL,non-essential,1,E_geometry|N_score,0,0.3732004445187635,0.6260548572583222,0.1379310344827586,0.0,158,1,45.8,3,3,True
AMB_RS00070,,UNRESOLVED,unknown,0,E_cons_core,1,0.921940066787354,0.051997052437784616,0.9090909090909092,0.0,408,0,46.75,3,3,True
AMB_RS00075,,UNRESOLVED,unknown,0,E_cons_core|E_geometry,1,0.8015869320718051,0.19467201235728787,0.5277777777777778,1.0,113,1,47.88,3,3,False
AMB_RS00080,,CONFIDENT_NONESSENTIAL,non-essential,1,N_score,0,0.1536562774587176,0.8785801030973005,0.0,1.0,450,1,49.11,3,3,True
AMB_RS00085,,CONFIDENT_NONESSENTIAL,non-essential,2,E_geometry|N_score|N_redundancy,1,0.3287506556560723,0.6643722014048766,0.1891891891891892,4.0,400,1,50.7,3,3,True
AMB_RS00090,,UNRESOLVED,unknown,0,E_cons_core,1,0.5271374344737125,0.44856482138455206,0.5666666666666667,0.0,805,1,52.51,3,3,False
AMB_RS00095,,UNRESOLVED,unknown,0,E_cons_core|E_geometry,1,0.9368682234564196,0.040047571333418464,0.8709677419354839,0.0,217,1,54.12,3,3,True
