og_a,og_b,n_orgs_adjacent,source
OG01350,OG01816,48,operon-adjacent (synteny)
OG00354,OG01961,47,operon-adjacent (synteny)
OG00446,OG01203,46,operon-adjacent (synteny)
OG01316,OG01366,46,operon-adjacent (synteny)
OG00279,OG00696,46,operon-adjacent (synteny)
OG00424,OG00605,46,operon-adjacent (synteny)
OG01241,OG02092,46,operon-adjacent (synteny)
OG00279,OG02363,46,operon-adjacent (synteny)
OG00632,OG01832,46,operon-adjacent (synteny)
OG01431,OG01923,46,operon-adjacent (synteny)
OG00096,OG02779,46,operon-adjacent (synteny)
OG01288,OG01816,46,operon-adjacent (synteny)
OG00016,OG00245,46,operon-adjacent (synteny)
OG01350,OG01542,46,operon-adjacent (synteny)
OG00354,OG00858,45,operon-adjacent (synteny)
OG00462,OG00989,45,operon-adjacent (synteny)
OG00167,OG00942,45,operon-adjacent (synteny)
OG02075,OG02374,45,operon-adjacent (synteny)
OG00324,OG00546,45,operon-adjacent (synteny)
OG00266,OG01542,45,operon-adjacent (synteny)
OG00027,OG01002,45,operon-adjacent (synteny)
OG00730,OG01494,45,operon-adjacent (synteny)
OG00833,OG02374,45,operon-adjacent (synteny)
OG00232,OG02088,45,operon-adjacent (synteny)
OG00730,OG01832,44,operon-adjacent (synteny)
OG02366,OG02541,44,operon-adjacent (synteny)
OG00601,OG01179,44,operon-adjacent (synteny)
OG01316,OG02088,44,operon-adjacent (synteny)
OG01248,OG02458,44,operon-adjacent (synteny)
OG00760,OG00882,44,operon-adjacent (synteny)
OG01042,OG02549,44,operon-adjacent (synteny)
OG00653,OG01431,44,operon-adjacent (synteny)
OG00151,OG02758,44,operon-adjacent (synteny)
OG00858,OG02783,44,operon-adjacent (synteny)
OG02489,OG02723,44,operon-adjacent (synteny)
OG00632,OG01836,44,operon-adjacent (synteny)
OG00440,OG01288,44,operon-adjacent (synteny)
OG01592,OG03566,44,operon-adjacent (synteny)
OG00832,OG02195,44,operon-adjacent (synteny)
OG00760,OG01494,43,operon-adjacent (synteny)
OG00389,OG01364,43,operon-adjacent (synteny)
OG00890,OG01366,43,operon-adjacent (synteny)
OG00451,OG02703,43,operon-adjacent (synteny)
OG00440,OG00546,43,operon-adjacent (synteny)
OG00601,OG01219,43,operon-adjacent (synteny)
OG00281,OG02619,43,operon-adjacent (synteny)
OG00266,OG01944,43,operon-adjacent (synteny)
OG01928,OG02180,42,operon-adjacent (synteny)
OG00890,OG01961,42,operon-adjacent (synteny)
OG00151,OG00670,42,operon-adjacent (synteny)
OG00092,OG00232,42,operon-adjacent (synteny)
OG00853,OG02542,42,operon-adjacent (synteny)
OG00653,OG02783,42,operon-adjacent (synteny)
OG01179,OG02678,42,operon-adjacent (synteny)
OG01544,OG01793,42,operon-adjacent (synteny)
OG02259,OG02541,42,operon-adjacent (synteny)
OG00413,OG01384,42,operon-adjacent (synteny)
OG00305,OG01465,41,operon-adjacent (synteny)
OG00151,OG03534,41,operon-adjacent (synteny)
OG00696,OG02483,41,operon-adjacent (synteny)
OG00393,OG01770,41,operon-adjacent (synteny)
OG00396,OG00551,41,operon-adjacent (synteny)
OG00287,OG00332,40,operon-adjacent (synteny)
OG02473,OG02483,40,operon-adjacent (synteny)
OG02531,OG02787,40,operon-adjacent (synteny)
OG00480,OG01514,40,operon-adjacent (synteny)
OG00879,OG02686,40,operon-adjacent (synteny)
OG00989,OG02355,40,operon-adjacent (synteny)
OG02510,OG02741,40,operon-adjacent (synteny)
OG01778,OG02538,40,operon-adjacent (synteny)
OG02660,OG02741,40,operon-adjacent (synteny)
OG00614,OG01736,39,operon-adjacent (synteny)
OG01012,OG01012,39,operon-adjacent (synteny)
OG00661,OG01765,39,operon-adjacent (synteny)
OG00417,OG00779,39,operon-adjacent (synteny)
OG01900,OG02764,39,operon-adjacent (synteny)
OG02908,OG04009,39,operon-adjacent (synteny)
OG02454,OG02681,39,operon-adjacent (synteny)
OG00195,OG01649,39,operon-adjacent (synteny)
OG00143,OG02703,39,operon-adjacent (synteny)
OG02355,OG02531,39,operon-adjacent (synteny)
OG00050,OG02679,39,operon-adjacent (synteny)
OG00164,OG00787,39,operon-adjacent (synteny)
OG01179,OG02787,39,operon-adjacent (synteny)
OG00875,OG01632,39,operon-adjacent (synteny)
OG00692,OG03855,39,operon-adjacent (synteny)
OG01126,OG02773,39,operon-adjacent (synteny)
OG01071,OG01673,38,operon-adjacent (synteny)
OG01204,OG01663,38,operon-adjacent (synteny)
OG00075,OG00605,38,operon-adjacent (synteny)
OG00009,OG00074,38,operon-adjacent (synteny)
OG01131,OG02683,38,operon-adjacent (synteny)
OG01437,OG02366,38,operon-adjacent (synteny)
OG01129,OG01144,38,operon-adjacent (synteny)
OG00293,OG01818,38,operon-adjacent (synteny)
OG01241,OG01280,38,operon-adjacent (synteny)
OG00118,OG02683,38,operon-adjacent (synteny)
OG00551,OG00753,38,operon-adjacent (synteny)
OG00070,OG01601,38,operon-adjacent (synteny)
OG01691,OG01765,38,operon-adjacent (synteny)
OG00143,OG02322,38,operon-adjacent (synteny)
OG00108,OG01010,38,operon-adjacent (synteny)
OG00809,OG02031,38,operon-adjacent (synteny)
OG00832,OG01280,38,operon-adjacent (synteny)
OG00128,OG00605,38,operon-adjacent (synteny)
OG00092,OG00324,38,operon-adjacent (synteny)
OG01489,OG01761,38,operon-adjacent (synteny)
OG00664,OG02389,38,operon-adjacent (synteny)
OG01318,OG01605,37,operon-adjacent (synteny)
OG00020,OG00047,37,operon-adjacent (synteny)
OG00101,OG02058,37,operon-adjacent (synteny)
OG00287,OG02310,37,operon-adjacent (synteny)
OG02327,OG02568,37,operon-adjacent (synteny)
OG00280,OG01483,37,operon-adjacent (synteny)
OG00146,OG02070,37,operon-adjacent (synteny)
OG01012,OG01424,37,operon-adjacent (synteny)
OG01287,OG01907,37,operon-adjacent (synteny)
OG00791,OG01916,37,operon-adjacent (synteny)
OG00442,OG00794,37,operon-adjacent (synteny)
OG01220,OG02286,37,operon-adjacent (synteny)
OG01390,OG02290,37,operon-adjacent (synteny)
OG01103,OG01605,37,operon-adjacent (synteny)
OG00545,OG01714,37,operon-adjacent (synteny)
OG00922,OG00922,37,operon-adjacent (synteny)
OG01033,OG01990,36,operon-adjacent (synteny)
OG00695,OG01528,36,operon-adjacent (synteny)
OG02343,OG02538,36,operon-adjacent (synteny)
OG00379,OG00986,36,operon-adjacent (synteny)
OG01139,OG02619,36,operon-adjacent (synteny)
OG00441,OG00639,36,operon-adjacent (synteny)
OG00024,OG01002,36,operon-adjacent (synteny)
OG00467,OG01400,36,operon-adjacent (synteny)
OG00415,OG02109,36,operon-adjacent (synteny)
OG00234,OG01139,36,operon-adjacent (synteny)
OG00417,OG01421,36,operon-adjacent (synteny)
OG02109,OG02109,36,operon-adjacent (synteny)
OG00898,OG02034,36,operon-adjacent (synteny)
OG00415,OG01483,36,operon-adjacent (synteny)
OG00071,OG00922,36,operon-adjacent (synteny)
OG00907,OG01686,35,operon-adjacent (synteny)
OG00132,OG00172,35,operon-adjacent (synteny)
OG00277,OG01668,35,operon-adjacent (synteny)
OG01686,OG04004,35,operon-adjacent (synteny)
OG00118,OG01625,35,operon-adjacent (synteny)
OG00128,OG00424,35,operon-adjacent (synteny)
OG01355,OG02160,35,operon-adjacent (synteny)
OG00510,OG01078,35,operon-adjacent (synteny)
OG01213,OG02009,35,operon-adjacent (synteny)
OG02260,OG02534,35,operon-adjacent (synteny)
OG01018,OG01999,35,operon-adjacent (synteny)
OG00009,OG00151,35,operon-adjacent (synteny)
OG00146,OG01331,35,operon-adjacent (synteny)
OG00986,OG01421,35,operon-adjacent (synteny)
OG00197,OG01811,35,operon-adjacent (synteny)
OG00543,OG01103,35,operon-adjacent (synteny)
OG00399,OG01437,35,operon-adjacent (synteny)
OG00342,OG00666,35,operon-adjacent (synteny)
OG00082,OG02175,35,operon-adjacent (synteny)
OG00280,OG00794,35,operon-adjacent (synteny)
OG00492,OG02071,35,operon-adjacent (synteny)
OG02549,OG02686,35,operon-adjacent (synteny)
OG01767,OG03140,35,operon-adjacent (synteny)
