organism,kind,accession,n_cds,join_rate,has_protein_faa,status
aeromonas,ours,GCF_000014805.1,4195,0.0,True,low_join_wrong_assembly
beril_ANA3,ours,,0,,,no_accession
beril_BFirm,ours,,0,,,no_accession
beril_Btheta,ours,,0,,,no_accession
beril_Burk376,ours,,0,,,no_accession
beril_Caulo,ours,GCF_000006905.1,3943,0.0,True,low_join_wrong_assembly
beril_Cola,ours,GCF_000325705.1,4455,0.0,True,low_join_wrong_assembly
beril_Cup4G11,ours,,0,,,no_accession
beril_Dda3937,ours,GCF_000147055.1,4332,0.9954,True,ok
beril_Ddia6719,ours,GCF_003403135.1,4377,0.0,True,low_join_wrong_assembly
beril_DdiaME23,ours,,0,,,no_accession
beril_Dino,ours,,0,,,no_accession
beril_DvH,ours,,0,,,no_accession
beril_Dyella79,ours,GCF_000620485.1,4398,0.0,True,low_join_wrong_assembly
beril_HerbieS,ours,GCF_000143225.1,4824,0.9974,True,ok
beril_Kang,ours,GCF_000374105.1,2457,0.0,True,low_join_wrong_assembly
beril_Keio,ours,,0,,,no_accession
beril_Korea,ours,GCF_900215245.1,5916,0.0,True,low_join_wrong_assembly
beril_Koxy,ours,GCF_015139575.1,5574,0.0,True,low_join_wrong_assembly
beril_MR1,ours,,0,,,no_accession
beril_Magneto,ours,GCF_000009985.1,4703,0.9921,True,ok
beril_Marino,ours,,0,,,no_accession
beril_Methanococcus_JJ,ours,GCF_002945325.1,1824,1.0,True,ok
beril_Methanococcus_S2,ours,GCF_000011585.1,1749,1.0,True,ok
beril_Miya,ours,,0,,,no_accession
beril_PS,ours,GCF_000236665.1,3522,0.0,True,low_join_wrong_assembly
beril_PV4,ours,,0,,,no_accession
beril_Pedo557,ours,,0,,,no_accession
beril_Phaeo,ours,,0,,,no_accession
beril_Ponti,ours,GCF_003585765.1,4290,0.0,True,low_join_wrong_assembly
beril_Putida,ours,GCF_000007565.2,5619,0.0,True,low_join_wrong_assembly
beril_RalstoniaBSBF1503,ours,GCF_001587155.1,4830,0.9721,True,ok
beril_RalstoniaGMI1000,ours,GCF_000009125.1,5124,0.9906,True,ok
beril_RalstoniaPSI07,ours,GCF_000283475.1,4884,0.9896,True,ok
beril_RalstoniaUW163,ours,,0,,,no_accession
beril_SB2B,ours,,0,,,no_accession
beril_Smeli,ours,,0,,,no_accession
beril_SynE,ours,GCF_000012525.1,2720,0.0,True,low_join_wrong_assembly
beril_SyringaeB728a,ours,GCF_000012245.1,5219,0.0,True,low_join_wrong_assembly
beril_SyringaeB728a_mexBdelta,ours,GCF_000012245.1,5219,0.0,True,low_join_wrong_assembly
beril_WCS417,ours,,0,,,no_accession
beril_acidovorax_3H11,ours,GCF_001633105.1,4960,0.0,True,low_join_wrong_assembly
beril_azobra,ours,GCF_007827425.1,6338,0.0,True,low_join_wrong_assembly
beril_psRCH2,ours,GCF_000327065.1,4290,0.0,True,low_join_wrong_assembly
beril_pseudo13_GW456_L13,ours,,0,,,no_accession
beril_pseudo1_N1B4,ours,,0,,,no_accession
beril_pseudo3_N2E3,ours,,0,,,no_accession
beril_pseudo5_N2C3_1,ours,,0,,,no_accession
beril_pseudo6_N2E2,ours,,0,,,no_accession
ecoli_BW25113_tradis,ours,GCF_000750555.1,4398,0.0,True,low_join_wrong_assembly
mgen,ours,GCF_000027325.1,524,0.0,True,low_join_wrong_assembly
mpne,ours,GCF_000027345.1,724,0.0,True,low_join_wrong_assembly
mtub,ours,GCF_000195955.2,3906,0.9777,True,ok
reut,ours,GCF_000009285.1,6814,0.0,True,low_join_wrong_assembly
reut_full,ours,GCF_000009285.1,6814,0.0,True,low_join_wrong_assembly
saur_NCTC8325_biotradis,ours,GCF_000013425.1,2767,0.917,True,ok
spne19F,ours,GCF_000019025.1,2104,0.0,True,low_join_wrong_assembly
spneT4,ours,GCF_000006885.1,2139,0.0,True,low_join_wrong_assembly
syn3a,ours,GCA_000968075.1,845,0.0,True,low_join_wrong_assembly
DEG:DEG1001:Bacillus subtilis 168,deg,GCF_000009045.1,4237,,True,ok
DEG:DEG1002:Staphylococcus aureus N315,deg,GCF_000009645.1,2735,,True,ok
DEG:DEG1003:Vibrio cholerae N16961,deg,GCF_000006745.1,3584,,True,ok
DEG:DEG1005:Haemophilus influenzae Rd KW20,deg,GCF_020736045.1,1806,,True,ok
DEG:DEG1006:Mycoplasma genitalium G37,deg,GCF_000027325.1,524,,True,ok
DEG:DEG1007:Streptococcus pneumoniae,deg,GCF_000006885.1,2139,,True,ok
DEG:DEG1008:Helicobacter pylori 26695,deg,GCF_025998455.1,1584,,True,ok
DEG:DEG1010:Mycobacterium tuberculosis H37Rv,deg,GCF_000195955.2,3906,,True,ok
DEG:DEG1011:Salmonella typhimurium LT2,deg,GCF_000006945.2,4554,,True,ok
DEG:DEG1012:Francisella novicida U112,deg,GCF_000014645.1,1791,,True,ok
DEG:DEG1013:Acinetobacter baylyi ADP1,deg,GCF_000046845.1,3256,,True,ok
