chromosome,gene,element,crispr_hit,log_dist,atac_enh,h3k27ac_enh,polr2a_enh,procap_enh,tf_count,promoter_atac,promoter_polii,gene_expr,abc_score
chr1,CEP104,chr1:3774714-3775214,1,4.9151359066220115,5.41983,6.49883,0.0,1.0,107,18.9205,68.58688,0.2528388500213623,0.0192541953
chr1,LRRC47,chr1:3774714-3775214,1,4.333245698961963,5.41983,6.49883,0.0,1.0,107,8.37122,90.24775,0.41264888644218445,0.0400592541
chr1,SMIM1,chr1:3774714-3775214,1,3.3432115901797474,5.41983,6.49883,0.0,1.0,107,13.3586,20.14594,0.11929475516080856,0.0
chr1,LRRC47,chr1:3803570-3805848,0,3.9141844334232463,0.684975,9.08815,0.0,1.0,45,8.37122,90.24775,0.41264888644218445,0.0
chr1,SMIM1,chr1:3803570-3805848,0,4.504090093259942,0.684975,9.08815,0.0,1.0,45,13.3586,20.14594,0.11929475516080856,0.0
chr1,SMIM1,chr1:4126791-4127291,0,5.549314762710945,0.0,0.0,0.0,0.0,4,13.3586,20.14594,0.11929475516080856,0.0
chr1,RPL22,chr1:5304578-5305078,0,5.956437859277778,0.337753,0.0,0.0,0.0,35,2.01389,38.64545,17.47304916381836,0.0
chr1,PARK7,chr1:8197448-8198244,0,5.386598832880463,7.15909,0.0,0.0,0.0,165,4.5928,91.68514,6.315622806549072,0.0
chr1,ENO1,chr1:8858063-8858563,1,4.320893709631824,0.934344,0.0,0.0,0.0,67,18.6679,145.2424,14.46187973022461,0.0176188209
chr1,PARK7,chr1:8899850-8900350,0,5.97580390147668,1.26263,0.0,0.0,0.0,53,4.5928,91.68514,6.315622806549072,0.0
chr1,ENO1,chr1:9145155-9145655,0,5.425139524439413,0.618687,0.0,0.0,0.0,11,18.6679,145.2424,14.46187973022461,0.0
chr1,DFFA,chr1:10387486-10388537,0,4.926933795802879,0.51452,0.0,0.0,0.0,40,5.21149,89.98366,0.6543015837669373,0.0
chr1,MAD2L2,chr1:11881944-11882444,0,5.279999836361079,0.801768,11.21716,0.0,1.0,27,0.0,0.0,0.9882623553276062,0.0
chr1,AGTRAP,chr1:11882562-11883554,0,5.16724346886112,9.22664,11.21716,39.47206,1.0,142,6.18056,33.49708,0.6894575357437134,0.0
chr1,MAD2L2,chr1:11882562-11883554,0,5.281964623259899,9.22664,11.21716,39.47206,1.0,142,0.0,0.0,0.9882623553276062,0.0
