organism,locus_tag,essential,leading,oriC_frac,mobile_dist_kb,n_paralogs,gene_len_aa,gc,conservation,score_conservation_only,score_all_combined
beril_RalstoniaGMI1000,RS_RS25220,1,1,0.0003,20.6,0.0,45,0.637,1.0,0.9595393219576822,0.9700799412269699
beril_RalstoniaGMI1000,RS_RS00005,1,1,0.0005,20.95,0.0,144,0.6875,1.0,0.9595393219576822,0.9645515657401015
beril_RalstoniaGMI1000,RS_RS00010,0,1,0.0007,21.32,0.0,105,0.6825,0.21428571428571427,0.42855949294916423,0.46322023431744075
beril_RalstoniaGMI1000,RS_RS00015,1,1,0.0012,22.31,0.0,554,0.6576,1.0,0.9595393219576822,0.935621235270426
beril_RalstoniaGMI1000,RS_RS00020,1,1,0.0021,24.0,0.0,475,0.7046,0.5641025641025641,0.7772996611158606,0.6972645021661327
beril_RalstoniaGMI1000,RS_RS00025,0,1,0.0026,24.97,0.0,108,0.6543,0.0,0.22623553711074168,0.2513585344702749
beril_RalstoniaGMI1000,RS_RS00035,1,0,0.0034,26.36,0.0,71,0.6338,1.0,0.9595393219576822,0.9706353098858026
beril_RalstoniaGMI1000,RS_RS00040,0,0,0.0041,27.72,19.0,515,0.6964,0.2631578947368421,0.481783612268529,0.41642390884937186
beril_RalstoniaGMI1000,RS_RS00045,0,0,0.0054,30.07,14.0,1050,0.6587,0.07692307692307693,0.29078978609672634,0.11552467624842969
beril_RalstoniaGMI1000,RS_RS00050,0,0,0.0066,32.27,13.0,399,0.7068,0.1794871794871795,0.39157450013408646,0.35860038631751795
beril_RalstoniaGMI1000,RS_RS00055,0,1,0.0074,33.72,15.0,220,0.6561,0.5365853658536586,0.7556613901989351,0.7846069714289061
beril_RalstoniaGMI1000,RS_RS00060,0,1,0.0078,34.5,0.0,298,0.7136,0.0,0.22623553711074168,0.19882621660212316
beril_RalstoniaGMI1000,RS_RS00065,1,1,0.0085,35.76,3.0,471,0.7353,0.9024390243902439,0.9391899596654946,0.9163966709717788
beril_RalstoniaGMI1000,RS_RS00070,0,1,0.0092,37.06,0.0,297,0.725,0.029411764705882353,0.2496645370841496,0.22099745354515749
beril_RalstoniaGMI1000,RS_RS00075,0,0,0.0097,38.05,4.0,343,0.6638,0.1951219512195122,0.40806481079802437,0.3825304485913788
beril_RalstoniaGMI1000,RS_RS00080,0,1,0.0107,37.98,0.0,623,0.6731,0.125,0.336213505119149,0.2108485637209331
beril_RalstoniaGMI1000,RS_RS00085,0,1,0.0119,35.79,0.0,280,0.6952,0.0,0.22623553711074168,0.20492504610490486
beril_RalstoniaGMI1000,RS_RS00090,1,1,0.0123,35.01,0.0,155,0.6688,0.0,0.22623553711074168,0.24033948799827642
beril_RalstoniaGMI1000,RS_RS00095,0,0,0.0127,34.31,1.0,263,0.6895,0.07407407407407407,0.2882137958332123,0.2803475392091603
beril_RalstoniaGMI1000,RS_RS00100,1,0,0.0131,33.54,11.0,211,0.684,0.42105263157894735,0.6504864211892918,0.6869387459172226
beril_RalstoniaGMI1000,RS_RS00105,0,0,0.0136,32.5,0.0,488,0.7158,0.0,0.22623553711074168,0.16095979249866982
beril_RalstoniaGMI1000,RS_RS00110,0,1,0.0148,30.44,0.0,687,0.6672,0.04,0.25848488662534075,0.1400023718644053
beril_RalstoniaGMI1000,RS_RS00115,0,1,0.0154,29.26,0.0,65,0.6308,0.23529411764705882,0.45130934847665155,0.5113133684905167
