locus_tag,contig,mid,essential,product,motif_density,rbs_strength,mobile_dist_kb,length_aa,gc,leading,oriC_frac,n_paralogs,conservation,atg_start,tga_stop,m10_hit,m35_hit,deep_operon,ess_axis,pc1,pc2,ne_cluster
RS_RS25220,NC_003295.1,553,1,50S ribosomal protein L34,7.407,3,20.6,45,0.637,1,0.0003,0.0,1.0,1,0,0,0,0,4.056167498035094,2.9111898295273253,-0.6855821041490141,-1
RS_RS00005,NC_003295.1,897,1,ribonuclease P protein component,2.315,3,20.95,144,0.6875,1,0.0005,0.0,1.0,1,1,0,0,0,3.7817821154275157,1.8422027800136003,-0.6308161278755297,-1
RS_RS00010,NC_003295.1,1267,0,membrane protein insertion efficiency factor YidD,6.349,4,21.32,105,0.6825,1,0.0007,0.0,0.2143,1,0,0,0,1,0.03256898594670605,0.6231398911937409,-1.2884111449936533,1
RS_RS00015,NC_003295.1,2261,1,membrane protein insertase YidC,7.22,2,22.31,554,0.6576,1,0.0012,0.0,1.0,1,0,0,0,0,2.8162665536372993,1.8088610334551698,-0.22390024652095866,-1
RS_RS00020,NC_003295.1,3955,1,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE,8.421,2,24.0,475,0.7046,1,0.0021,0.0,0.5641,1,0,0,0,0,0.9372183631536968,0.5325658485239598,-0.54784037016583,-1
RS_RS00025,NC_003295.1,4918,0,low molecular weight protein tyrosine phosphatase family protein,3.086,2,24.97,108,0.6543,1,0.0026,0.0,0.0,1,1,0,0,0,-0.8387160815235581,0.7161722589290618,-1.2951939979688754,0
RS_RS00035,NC_003295.1,6310,1,30S ribosomal protein S21,4.695,3,26.36,71,0.6338,0,0.0034,0.0,1.0,1,0,0,0,0,3.895211971031095,2.879021431666558,-0.9014419380461127,-1
RS_RS00040,NC_003295.1,7671,0,efflux transporter outer membrane subunit,7.767,4,27.72,515,0.6964,0,0.0041,19.0,0.2632,1,0,0,0,0,0.39992001713597836,0.40938598318925845,-1.0969892162023651,1
RS_RS00045,NC_003295.1,10020,0,efflux RND transporter permease subunit,7.302,4,30.07,1050,0.6587,0,0.0054,14.0,0.0769,1,1,0,0,1,-2.1550160249269936,-1.5086240358693637,-1.055776479578322,0
RS_RS00050,NC_003295.1,12219,0,efflux RND transporter periplasmic adaptor subunit,6.683,3,32.27,399,0.7068,0,0.0066,13.0,0.1795,1,0,0,0,0,-0.010552491523019101,0.2513935594416068,-1.0520588394379329,1
RS_RS00055,NC_003295.1,13675,0,TetR family transcriptional regulator,4.545,4,33.72,220,0.6561,1,0.0074,15.0,0.5366,1,1,0,0,0,2.3068398726917048,1.5927668596881803,-0.7718142608714093,0
RS_RS00060,NC_003295.1,14448,0,patatin-like phospholipase family protein,11.186,4,34.5,298,0.7136,1,0.0078,0.0,0.0,1,0,0,0,0,-1.4932923161155285,-0.3932368730410344,-1.3155847743862354,1
RS_RS00065,NC_003295.1,15706,1,dihydrolipoyl dehydrogenase family protein,4.954,3,35.76,471,0.7353,1,0.0085,3.0,0.9024,1,1,0,0,0,2.7052703255144763,0.33757434485317817,-0.2458184960666504,-1
RS_RS00070,NC_003295.1,17011,0,DODA-type extradiol aromatic ring-opening family dioxygenase,7.856,3,37.06,297,0.725,1,0.0092,0.0,0.0294,1,1,0,0,0,-1.2241049614672164,-0.9158277245951412,-1.1217952875165975,0
RS_RS00075,NC_003295.1,17996,0,D-2-hydroxyacid dehydrogenase family protein,6.803,3,38.05,343,0.6638,0,0.0097,4.0,0.1951,1,1,0,0,0,-0.3450499806939354,0.005234636789583967,-1.2736311292378653,0
RS_RS00080,NC_003295.1,19866,0,phosphoenolpyruvate carboxykinase (GTP),4.28,4,37.98,623,0.6731,1,0.0107,0.0,0.125,1,1,0,0,0,-1.7888680494279945,-0.26781251451666094,-1.1139997906458925,0
RS_RS00085,NC_003295.1,22064,0,winged helix-turn-helix domain-containing protein,9.524,5,35.79,280,0.6952,1,0.0119,0.0,0.0,0,1,0,0,0,-1.4623589729327453,-0.8190715208116053,-2.0236670017829006,2
RS_RS00090,NC_003295.1,22843,1,DUF3617 domain-containing protein,8.602,4,35.01,155,0.6688,1,0.0123,0.0,0.0,1,0,0,0,0,-1.1514280385276654,0.6626908763017785,-1.4066421544394028,-1
RS_RS00095,NC_003295.1,23543,0,2-oxo-tetronate isomerase,1.267,4,34.31,263,0.6895,0,0.0127,1.0,0.0741,1,1,0,0,0,-1.116516766400051,0.05216151340667394,-1.632445681371221,0
RS_RS00100,NC_003295.1,24306,1,response regulator,4.739,1,33.54,211,0.684,0,0.0131,11.0,0.4211,1,1,0,0,0,1.771133632903082,0.6189958097502277,-0.6697805997148591,-1
RS_RS00105,NC_003295.1,25350,0,cache domain-containing protein,8.88,2,32.5,488,0.7158,0,0.0136,0.0,0.0,1,1,0,0,0,-1.8140479370343436,-1.5156876423766534,-1.2725639278805805,0
RS_RS00110,NC_003295.1,27413,0,carbon starvation CstA family protein,11.16,4,30.44,687,0.6672,1,0.0148,0.0,0.04,1,1,0,0,0,-2.2821126247071364,-1.026157850386422,-1.2954839019731599,0
RS_RS00115,NC_003295.1,28590,0,YbdD/YjiX family protein,0.0,4,29.26,65,0.6308,1,0.0154,0.0,0.2353,1,1,0,0,0,0.1543454824128425,1.7608247058619366,-1.4108705880562986,0
RS_RS00120,NC_003295.1,29152,0,tetratricopeptide repeat protein,3.953,4,28.7,253,0.722,0,0.0157,0.0,0.0,1,0,0,0,0,-1.5412331596686324,-0.043816104722017954,-1.675553666678994,1
