locus_tag,mg_homolog_locus,mg_homolog_method,mg_pident,mg_essential,mp_homolog_locus,mp_homolog_method,mp_pident,mp_essential
JCVISYN3A_0001,MG_469,blast,30.2,1,MPN686,gene_name,,
JCVISYN3A_0002,MG_001,gene_name,,1,MPN001,gene_name,,1
JCVISYN3A_0003,MG_057,blast,39.5,1,MPN072,blast,35.2,
JCVISYN3A_0004,MG_463,blast,34.4,0,MPN679,gene_name,,
JCVISYN3A_0005,,,,,,,,
JCVISYN3A_0006,MG_003,gene_name,,1,MPN003,gene_name,,
JCVISYN3A_0007,MG_004,gene_name,,1,MPN004,gene_name,,
JCVISYN3A_0008,MG_121,blast,35.8,0,MPN260,blast,33.2,
JCVISYN3A_0009,MG_120,blast,30.6,1,MPN259,blast,30.1,
JCVISYN3A_0010,MG_119,blast,43.5,1,MPN258,blast,41.4,
JCVISYN3A_0011,,,,,,,,
JCVISYN3A_0012,MG_021,blast,41.2,1,MPN023,blast,40.5,1
JCVISYN3A_0918,,,,,,,,
JCVISYN3A_0913,MG_089,blast,25.3,1,MPN227,blast,25.3,
JCVISYN3A_0025,MG_092,gene_name,,1,MPN230,gene_name,,
JCVISYN3A_0026,,,,,,,,
JCVISYN3A_0027,MG_090,blast,32.2,1,MPN228,gene_name,,
JCVISYN3A_0029,,,,,MPN479,blast,40.5,
JCVISYN3A_0030,MG_065,blast,55.0,1,MPN081,blast,54.0,
JCVISYN3A_0033,,,,,,,,
JCVISYN3A_0034,MG_064,blast,23.8,1,MPN080,blast,22.7,
JCVISYN3A_0039,MG_457,gene_name,,1,MPN671,gene_name,,
JCVISYN3A_0040,MG_084,blast,36.8,1,MPN222,blast,37.0,
JCVISYN3A_0042,,,,,,,,
JCVISYN3A_0043,,,,,MPN009,gene_name,,
JCVISYN3A_0044,MG_007,blast,34.5,1,MPN007,blast,28.8,
JCVISYN3A_0045,MG_006,gene_name,,1,MPN006,blast,39.5,
JCVISYN3A_0046,,,,,,,,
JCVISYN3A_0047,MG_419,blast,40.8,1,MPN618,gene_name,,
JCVISYN3A_0049,MG_0001,gene_name,,1,,,,
JCVISYN3A_0051,,,,,,,,
JCVISYN3A_0054,,,,,,,,
JCVISYN3A_0060,,,,,,,,
